name,part_url,price,size,color,rpm,airflow,noise_level,pwm
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/JpjBD3/lian-li-uni-fan-sl-infinity-727-cfm-140-mm-fan-uf-slin140-1b,,140,Black,"200,1600",72.7,28,true
Lian Li UNI FAN TL Wireless 3-Pack,https://pcpartpicker.com/product/GjcBD3/lian-li-uni-fan-tl-wireless-834-cfm-120-mm-fans-3-pack-12rtl1w3b,103.99,120,Black,"200,2300",83.4,34,true
Noctua NF-A14x25 G2 PWM,https://pcpartpicker.com/product/WgRwrH/noctua-nf-a14x25-g2-pwm-916-cfm-140-mm-fan-nf-a14x25-g2-pwm,46.95,140,Brown,"1250,1500","74.8,91.6","19.7,24.8",true
Thermalright TL-C12C X5 5-Pack,https://pcpartpicker.com/product/rFBzK8/thermalright-tl-c12c-x5-6617-cfm-120-mm-fans-5-pack-tl-c12c-x5,18.09,120,Black,1550,66.17,25.6,true
Lian Li UNI FAN CL Wireless 3-Pack,https://pcpartpicker.com/product/4pQwrH/lian-li-uni-fan-cl-wireless-723-cfm-120-mm-fans-3-pack-12rcl1w3b,60.99,120,Black,"250,2100",72.3,30.8,true
ARCTIC P12 Pro A-RGB 3-Pack,https://pcpartpicker.com/product/GjKnTW/arctic-p12-pro-a-rgb-77-cfm-120-mm-fans-3-pack-acfan00326a,36.99,120,White,"600,3000",77,,true
Thermalright TL-M12R-S,https://pcpartpicker.com/product/Wpbypg/thermalright-tl-m12r-s-476-cfm-120-mm-fan-tl-m12r-s,10.59,120,Black,1500,47.6,23.2,true
Lian Li UNI FAN SL-INF Wireless 3-Pack,https://pcpartpicker.com/product/njBFf7/lian-li-uni-fan-sl-inf-wireless-697-cfm-120-mm-fans-3-pack-12rslin1w3b,114.99,120,Black,"200,2200",69.7,32.2,true
Noctua F12 industrialPPC-3000 PWM,https://pcpartpicker.com/product/Mb4gXL/noctua-case-fan-nff12industrialppc3000pwm,29.95,120,Brown / Black,"750,3000",109.89,43.5,true
ARCTIC P14 Pro A-RGB,https://pcpartpicker.com/product/hWy8TW/arctic-p14-pro-a-rgb-110-cfm-140-mm-fan-acfan00315a,17.49,140,Black,"400,2500",110,,true
Noctua A12x15 PWM chromax.black.swap,https://pcpartpicker.com/product/FM3mP6/noctua-nf-a12x15-pwm-chromaxblackswap-5544-cfm-120-mm-fan-nf-a12x15-pwm-chromaxblackswap,36.95,120,Black / Multicolor,"450,1850",55.44,23.9,true
ARCTIC P12 Slim PWM PST 3-Pack,https://pcpartpicker.com/product/xBhv6h/arctic-p12-slim-pwm-pst-421-cfm-120-mm-fans-3-pack-acfan00275a,22.28,120,Black,"300,2100",42.1,22.5,true
Lian Li UNI FAN SL-INF Wireless 3-Pack,https://pcpartpicker.com/product/N2WmP6/lian-li-uni-fan-sl-inf-wireless-697-cfm-120-mm-fans-3-pack-12rslin1w3w,104.99,120,White,"200,2200",69.7,32.2,true
ARCTIC P12 Pro Reverse A-RGB,https://pcpartpicker.com/product/DLKnTW/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fan-acfan00322a,12.99,120,Black,"500,3000",73,,true
NZXT F120 RGB Core,https://pcpartpicker.com/product/Rz6NnQ/nzxt-f120-rgb-core-7886-cfm-120-mm-fan-rf-c12sf-w1,22.98,120,White,"500,1800",78.86,33.88,true
NZXT F120Q (2024),https://pcpartpicker.com/product/DbJp99/nzxt-f120q-2024-7426-cfm-120-mm-fan-rf-q12sf-b2,16.99,120,Black,"500,1700",74.26,25.1,true
Corsair RS120,https://pcpartpicker.com/product/DqCZxr/corsair-rs120-728-cfm-120-mm-fan-co-9050188-ww,14.99,120,Black,"420,2100","13.3,72.8","10,36",true
Noctua A14 industrialPPC-3000 PWM,https://pcpartpicker.com/product/ntXfrH/noctua-a14-industrialppc-3000-pwm-1585-cfm-140-mm-fan-nf-a14-industrialppc-3000-pwm,35.95,140,Brown / Black,"800,3000",158.5,41.3,true
Thermalright TL-C14C-S,https://pcpartpicker.com/product/HQxxFT/thermalright-tl-c14c-s-758-cfm-140-mm-fan-tl-c14c-s,8.28,140,Black,1500,75.8,26.4,true
Thermalright TL-C12C,https://pcpartpicker.com/product/PgTp99/thermalright-tl-c12c-6617-cfm-120-mm-fan-tl-c12c-d6,,120,Black,1550,66.17,25.6,true
Thermalright TL-S12 X3 3-Pack,https://pcpartpicker.com/product/4zkH99/thermalright-tl-s12-x3-476-cfm-120-mm-fans-3-pack-tl-s12-x3,17.79,120,Black,1500,47.6,23.2,true
Corsair iCUE LINK LX120-R RGB 3-Pack,https://pcpartpicker.com/product/NFJp99/corsair-icue-link-lx120-r-rgb-70-cfm-120-mm-fans-3-pack-co-9051054-ww,147.99,120,White,2400,70,35.1,true
Noctua A14 PWM,https://pcpartpicker.com/product/dwR48d/noctua-case-fan-nfa14pwm,27.95,140,Brown,"300,1500","68,82.5","19.2,24.6",true
Thermalright TL-M12R,https://pcpartpicker.com/product/nfFCmG/thermalright-tl-m12r-426-cfm-120-mm-fan-tl-m12r,9.29,120,Black,1500,42.6,23.2,true
