name,part_url,price,type,efficiency,wattage,modular,color
SeaSonic PRIME Ultra Titanium,https://pcpartpicker.com/product/nyQG3C/seasonic-prime-ultra-titanium-850w-80-titanium-certified-fully-modular-atx-power-supply-ssr-850tr,,ATX,titanium,850,Full,
be quiet! STRAIGHT POWER E9 | 480W CM,https://pcpartpicker.com/product/RXXfrH/be-quiet-power-supply-bn197,,ATX,gold,480,Full,
Cougar POLAR X2,https://pcpartpicker.com/product/qtrqqs/cougar-polar-x2-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cgr-prx2-1200,,ATX,platinum,1200,Full,White / Gray
be quiet! System Power 8,https://pcpartpicker.com/product/QMdFf7/be-quiet-bn242-600w-80-certified-atx-power-supply-bn242,,ATX,plus,600,false,
Antec VP PLUS,https://pcpartpicker.com/product/ChXnTW/antec-vp-plus-550-w-80-certified-atx-power-supply-vp550-plus,,ATX,plus,550,false,
be quiet! Pure Power 11 FM 1000,https://pcpartpicker.com/product/QnBG3C/be-quiet-pure-power-11-fm-1000-w-80-gold-certified-fully-modular-atx-power-supply-bn676,,ATX,gold,1000,Full,Black
FSP Group AU-400FL,https://pcpartpicker.com/product/V9V48d/fsp-group-power-supply-au400fl,,ATX,gold,400,Semi,
Silverstone Strider,https://pcpartpicker.com/product/Dtckcf/silverstone-power-supply-st75fgs,,ATX,gold,750,Full,
NZXT C750,https://pcpartpicker.com/product/dxt9TW/nzxt-c750-750-w-80-bronze-certified-semi-modular-atx-power-supply-pa-7b1bb-us,,ATX,bronze,750,Semi,Black
Thermaltake Toughpower GF A3 ATX 3.0,https://pcpartpicker.com/product/9srqqs/thermaltake-toughpower-gf-a3-atx-30-650-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0650fnfaga-h,,ATX,gold,650,Full,Black
Xilence XP650R10,https://pcpartpicker.com/product/fWpQzy/xilence-xp650r10-650-w-80-bronze-certified-atx-power-supply-xn220,108.22,ATX,bronze,650,false,Black / Red
ARESGAME AGS,https://pcpartpicker.com/product/hYNxFT/aresgame-ags-850-w-80-gold-certified-semi-modular-atx-power-supply-pz850,,ATX,gold,850,Semi,Black / Red
EVGA 450 W3,https://pcpartpicker.com/product/jgjNnQ/evga-450-w3-450-w-80-certified-atx-power-supply-100-w3-0450-k1,,ATX,plus,450,false,Black
Thermaltake Toughpower GX1,https://pcpartpicker.com/product/B2MwrH/thermaltake-toughpower-gx1-600-w-80-gold-certified-atx-power-supply-ps-tpd-0600nnfagu-1,,ATX,gold,600,false,Black
PC Cooler YN850,https://pcpartpicker.com/product/cN2j4D/pc-cooler-yn850-850-w-80-gold-certified-fully-modular-atx-power-supply-p5-yn850-g1ffbk1-us,,ATX,gold,850,Full,Black
NZXT C (2019),https://pcpartpicker.com/product/XBzFf7/nzxt-c-2019-750-w-80-gold-certified-fully-modular-atx-power-supply-np-c750m-us,,ATX,gold,750,Full,Black
Rosewill HIVE,https://pcpartpicker.com/product/gnDwrH/rosewill-power-supply-hive750,,ATX,bronze,750,Semi,
Thermaltake Toughpower PF3-L,https://pcpartpicker.com/product/ByV2FT/thermaltake-toughpower-pf3-l-850-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfapu-l,,ATX,platinum,850,Full,Black
Thermaltake Toughpower SFX,https://pcpartpicker.com/product/TkjRsY/thermaltake-toughpower-sfx-550-w-80-gold-certified-fully-modular-sfx-power-supply-ps-stp-0550fnfage-1,,SFX,gold,550,Full,Black
Fractal Design Ion+ 2 Platinum,https://pcpartpicker.com/product/cDRYcf/fractal-design-ion-2-platinum-660-w-80-platinum-certified-fully-modular-atx-power-supply-fd-p-ia2p-660,,ATX,platinum,660,Full,Black
Thermaltake Toughpower PF3,https://pcpartpicker.com/product/t8MMnQ/thermaltake-toughpower-pf3-750-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfapu-3,,ATX,platinum,750,Full,Black
Deepcool PX1000P,https://pcpartpicker.com/product/yHjRsY/deepcool-px1000p-1000-w-80-platinum-certified-fully-modular-atx-power-supply-r-pxa00p-fc0b-us,,ATX,platinum,1000,Full,Black / Silver
GameMax GT,https://pcpartpicker.com/product/RWbCmG/gamemax-gt-300-w-80-bronze-certified-tfx-power-supply-gt-300,,TFX,bronze,300,false,Silver
