name,part_url,price,type,efficiency,wattage,modular,color
Aerocool Integrator Gold,https://pcpartpicker.com/product/rFQKHx/aerocool-integrator-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-acpg-im85fkc31,,ATX,gold,850,Full,Black
Thermalright TG,https://pcpartpicker.com/product/9sMMnQ/thermalright-tg-650-w-80-gold-certified-fully-modular-atx-power-supply-tg-650,,ATX,gold,650,Full,Black
NOX URANO VX,https://pcpartpicker.com/product/zdnXsY/nox-urano-vx-650-w-80-bronze-certified-atx-power-supply-nxurvx650bz,,ATX,bronze,650,false,Black / Orange
Deepcool PL550D,https://pcpartpicker.com/product/mzLdnQ/deepcool-pl550d-550-w-80-bronze-certified-atx-power-supply-r-pl550d-fc0b-us,,ATX,bronze,550,false,Black
Cooler Master G600,https://pcpartpicker.com/product/D6YmP6/cooler-master-g600-600-w-80-gold-certified-atx-power-supply-mpw-6001-acaag-us,,ATX,gold,600,false,Black
Corsair CX750F,https://pcpartpicker.com/product/97zFf7/corsair-cx750f-750-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020218-na,,ATX,bronze,750,Full,Black
Corsair HX1000i SHIFT,https://pcpartpicker.com/product/vQNscf/corsair-hx1000i-shift-1000-w-fully-modular-side-interface-atx-power-supply-cp-9020265-na,339.99,ATX,,1000,Full / Side,Black
EVGA SuperNOVA 1200 P2,https://pcpartpicker.com/product/V6vRsY/evga-supernova-1200-p2-1200-w-80-platinum-certified-fully-modular-atx-power-supply-220-p2-1200-x1,441.99,ATX,platinum,1200,Full,
MSI MAG A650BNL,https://pcpartpicker.com/product/MvyH99/msi-mag-a650bnl-650-w-80-bronze-certified-atx-power-supply-mag-a650bnl,,ATX,bronze,650,false,Black
Asus ROG Strix,https://pcpartpicker.com/product/DRVG3C/asus-rog-strix-650-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-650g,,ATX,gold,650,Full,Black / Red
ASRock Phantom Gaming PG-750G,https://pcpartpicker.com/product/CKJp99/asrock-phantom-gaming-pg-750g-750-w-80-gold-certified-fully-modular-atx-power-supply-pg-750g,117.99,ATX,gold,750,Full,Black
Thermaltake TR2 S,https://pcpartpicker.com/product/mMwmP6/thermaltake-tr2-s-700-w-80-certified-atx-power-supply-ps-trs-0700npcweu-2,,ATX,plus,700,false,Black
PC Cooler KN850,https://pcpartpicker.com/product/ygNscf/pc-cooler-kn850-850-w-80-gold-certified-fully-modular-atx-power-supply-p3-kn850-g1f,,ATX,gold,850,Full,Black
Cougar GEX,https://pcpartpicker.com/product/3DLwrH/cougar-gex-750-w-80-gold-certified-fully-modular-atx-power-supply-gex750,,ATX,gold,750,Full,Black
be quiet! System Power 9,https://pcpartpicker.com/product/b37v6h/be-quiet-system-power-9-500-w-80-bronze-certified-atx-power-supply-bn246,,ATX,bronze,500,false,Black
Thermaltake Toughpower GF1 Snow - TT Premium,https://pcpartpicker.com/product/V7t9TW/thermaltake-toughpower-gf1-snow-tt-premium-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagx-w,,ATX,gold,750,Full,White
Cooler Master V750 SFX GOLD,https://pcpartpicker.com/product/JrLFf7/cooler-master-v-sfx-gold-750-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-7501-sfhagv-wu,150.36,SFX,gold,750,Full,White
Xilence XP500R6,https://pcpartpicker.com/product/nDm323/xilence-xp500r6-500-w-atx-power-supply-xn042,103.03,ATX,,500,false,Black / Red
be quiet! Pure Power 11,https://pcpartpicker.com/product/y4TPxr/be-quiet-pure-power-11-700-w-80-gold-certified-atx-power-supply-bn295,,ATX,gold,700,false,Black
Corsair AX1200i,https://pcpartpicker.com/product/vkYXsY/corsair-ax1200i-1200-w-80-platinum-certified-fully-modular-atx-power-supply-ax1200i,,ATX,platinum,1200,Full,
Silverstone SFX,https://pcpartpicker.com/product/9qTmP6/silverstone-sfx-300-w-80-bronze-certified-sfx-power-supply-st30sf,,SFX,bronze,300,false,Black
SeaSonic VERTEX PX-750,https://pcpartpicker.com/product/xVt9TW/seasonic-vertex-px-750-750-w-80-platinum-certified-fully-modular-atx-power-supply-vertex-px-750,,ATX,platinum,750,Full,Black / Silver
EVGA SuperNOVA 550 GA,https://pcpartpicker.com/product/v6qBD3/evga-supernova-550-ga-550-w-80-gold-certified-fully-modular-atx-power-supply-220-ga-0550-x1,,ATX,gold,550,Full,Black
SAMA P1200,https://pcpartpicker.com/product/qKdMnQ/sama-p1200-1200-w-80-platinum-certified-fully-modular-atx-power-supply-p1200-whpff001-us,,ATX,platinum,1200,Full,White
Aerocool Integrator,https://pcpartpicker.com/product/8NKscf/aerocool-integrator-700-w-80-bronze-certified-atx-power-supply-acpb-it70akc13,,ATX,bronze,700,false,Black
EVGA 650 B5,https://pcpartpicker.com/product/BtrYcf/evga-650-b5-650-w-80-bronze-certified-fully-modular-atx-power-supply-220-b5-0650-v1,,ATX,bronze,650,Full,Black
Mars Gaming MPIII750,https://pcpartpicker.com/product/LN88TW/mars-gaming-mpiii750-750-w-atx-power-supply-mpiii750w,,ATX,,750,false,White
Silverstone HELA 1200R,https://pcpartpicker.com/product/qWWzK8/silverstone-hela-1200r-1200-w-80-platinum-certified-fully-modular-atx-power-supply-sst-ha1200r-pm,315.62,ATX,platinum,1200,Full,Black
Enermax REVOLUTION III,https://pcpartpicker.com/product/b2YfrH/enermax-revolution-iii-650-w-80-gold-certified-fully-modular-atx-power-supply-erv650g-ahg-mac,,ATX,gold,650,Full,Black / Gold
be quiet! System Power 10,https://pcpartpicker.com/product/TMBG3C/be-quiet-system-power-10-550-w-80-bronze-certified-atx-power-supply-bn327,264,ATX,bronze,550,false,Black
Thermaltake Toughpower GF A3 ATX 3.0,https://pcpartpicker.com/product/Vsrqqs/thermaltake-toughpower-gf-a3-atx-30-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfaga-h,,ATX,gold,850,Full,Black
Cooler Master Elite V3,https://pcpartpicker.com/product/j966Mp/cooler-master-elite-v3-600-w-80-certified-atx-power-supply-mpw-6001-acaan1-us,,ATX,plus,600,false,Black
Cooler Master V650 SFX GOLD,https://pcpartpicker.com/product/DhRgXL/cooler-master-v650-sfx-gold-650-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-6501-sfhagv-us,,SFX,gold,650,Full,Black
FSP Group HV PRO,https://pcpartpicker.com/product/qTnypg/fsp-group-hv-pro-650-w-80-certified-atx-power-supply-fsp650-51aac,,ATX,plus,650,false,Black
Corsair VS650,https://pcpartpicker.com/product/FxDwrH/corsair-vs650-650-w-atx-power-supply-cp-9020051-ww,,ATX,,650,false,
Corsair RM650,https://pcpartpicker.com/product/Yx4gXL/corsair-rm650-650-w-80-gold-certified-fully-modular-atx-power-supply-rm650,,ATX,gold,650,Full,
be quiet! System Power 10,https://pcpartpicker.com/product/YdpzK8/be-quiet-system-power-10-750-w-80-bronze-certified-atx-power-supply-bn329,,ATX,bronze,750,false,Black
ASRock Challenger CL-750B,https://pcpartpicker.com/product/xNLdnQ/asrock-challenger-cl-750b-750-w-80-bronze-certified-atx-power-supply-cl-750b,59.99,ATX,bronze,750,false,Black
ADATA XPG Core Reactor II,https://pcpartpicker.com/product/TnCZxr/adata-xpg-core-reactor-ii-1000-w-80-gold-certified-fully-modular-atx-power-supply-corereactorii1000g-bkcus,191.99,ATX,gold,1000,Full,Black
FSP Group Hydro Pro,https://pcpartpicker.com/product/2GYRsY/fsp-group-hydro-pro-800-w-80-bronze-certified-atx-power-supply-hp2-800,,ATX,bronze,800,false,Black
Thermaltake TR2 S,https://pcpartpicker.com/product/VvbRsY/thermaltake-tr2-s-600-w-80-certified-atx-power-supply-ps-trs-0600npcweu-2,,ATX,plus,600,false,Black
be quiet! Pure Power 12 M,https://pcpartpicker.com/product/Tv6NnQ/be-quiet-pure-power-12-m-550-w-80-gold-certified-fully-modular-atx-power-supply-bn502,,ATX,gold,550,Full,Black
ENDORFY Vero L5,https://pcpartpicker.com/product/J2n9TW/endorfy-vero-l5-700-w-80-bronze-certified-atx-power-supply-ey7a006,,ATX,bronze,700,false,Black
Silverstone SX1000-LPT,https://pcpartpicker.com/product/PXCFf7/silverstone-sx1000-lpt-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx1000-lpt,284.27,SFX,platinum,1000,Full,Black
ADATA XPG CORE Reactor 850,https://pcpartpicker.com/product/CFbCmG/adata-xpg-core-reactor-850-850-w-80-gold-certified-fully-modular-atx-power-supply-corereactor850g-bkcus,,ATX,gold,850,Full,Black
Raidmax Cobra,https://pcpartpicker.com/product/DPXMnQ/raidmax-cobra-750-w-80-gold-certified-fully-modular-atx-power-supply-rx-750aem,,ATX,gold,750,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",https://pcpartpicker.com/product/tWJp99/fsp-group-hydro-ptm-x-progen5-1200-w-80-platinum-certified-fully-modular-atx-power-supply-hpt3-1200m-g5,199.99,ATX,platinum,1200,Full,Black
Silverstone Strider Platinum S,https://pcpartpicker.com/product/QGrmP6/silverstone-strider-platinum-s-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sst-st1000-pts,266.99,ATX,platinum,1000,Full,Black
Cougar GEX,https://pcpartpicker.com/product/6TMMnQ/cougar-gex-850-w-80-gold-certified-fully-modular-atx-power-supply-gex850,,ATX,gold,850,Full,Black
PowerSpec PS 650GSM,https://pcpartpicker.com/product/wkF48d/powerspec-650-w-80-gold-certified-semi-modular-atx-power-supply-ps-650gsm,,ATX,gold,650,Semi,Black
EVGA 750 N1,https://pcpartpicker.com/product/RnNypg/evga-750-n1-750-w-atx-power-supply-100-n1-0750-l1,,ATX,,750,false,
Corsair TX650M,https://pcpartpicker.com/product/PR92FT/corsair-tx650m-650-w-80-gold-certified-semi-modular-atx-power-supply-cp-9020229-eu,,ATX,gold,650,Semi,Black
Cooler Master MWE Bronze V2,https://pcpartpicker.com/product/pn9tt6/cooler-master-mwe-bronze-v2-450-w-80-bronze-certified-atx-power-supply-mpe-4501-acaab-us,,ATX,bronze,450,false,Black
Cooler Master MWE White V2 230V,https://pcpartpicker.com/product/vjfnTW/cooler-master-mwe-white-v2-230v-700-w-80-certified-atx-power-supply-mpe-7001-acabw,172.99,ATX,plus,700,false,Black
Corsair CX650F,https://pcpartpicker.com/product/QRQfrH/corsair-cx650f-650-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020226-na,,ATX,bronze,650,Full,White / Black
Cooler Master MWE Bronze V2,https://pcpartpicker.com/product/MxGnTW/cooler-master-mwe-bronze-v2-550-w-80-bronze-certified-atx-power-supply-mpe-5501-acaabus,,ATX,bronze,550,false,Black
Super Flower LEADEX VII XG,https://pcpartpicker.com/product/gjDQzy/super-flower-leadex-vii-xg-1000-w-80-gold-certified-fully-modular-atx-power-supply-sf-1000f14xgwh,195.99,ATX,gold,1000,Full,White
Super Flower Leadex III Gold,https://pcpartpicker.com/product/mQDkcf/super-flower-leadex-iii-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-sf-750f14hg,,ATX,gold,750,Full,Black
Corsair AX850,https://pcpartpicker.com/product/fcprxr/corsair-ax850-850-w-80-titanium-certified-fully-modular-atx-power-supply-cp-9020151-na,,ATX,titanium,850,Full,Black / Silver
Silverstone TX700-G,https://pcpartpicker.com/product/2Bwypg/silverstone-tx700-g-700-w-80-gold-certified-tfx-power-supply-sst-tx700-g,213.13,TFX,gold,700,false,Black
FSP Group Hydro G Pro,https://pcpartpicker.com/product/KjZzK8/fsp-group-hydro-g-pro-850-w-80-gold-certified-fully-modular-atx-power-supply-hg2-850,,ATX,gold,850,Full,Black
Azza PSAZ-750W,https://pcpartpicker.com/product/XzdG3C/azza-psaz-750w-750-w-80-bronze-certified-atx-power-supply-psaz-750w,84.99,ATX,bronze,750,false,Black
FSP Group VITA-1000GM,https://pcpartpicker.com/product/VktLrH/fsp-group-vita-1000gm-1000-w-80-gold-certified-fully-modular-atx-power-supply-vita-1000gm,,ATX,gold,1000,Full,Black
Enermax REVOLUTION III,https://pcpartpicker.com/product/jnCCmG/enermax-revolution-iii-1000-w-80-gold-certified-fully-modular-atx-power-supply-erv1000g-ahg-mac,121.95,ATX,gold,1000,Full,Black / Gold
Thermaltake Smart BX1 550,https://pcpartpicker.com/product/ZNfhP6/thermaltake-smart-bx1-550-550-w-80-bronze-certified-atx-power-supply-ps-spd-0550nnfabu-1,91.95,ATX,bronze,550,false,Black
SeaSonic G12 GC,https://pcpartpicker.com/product/QCqrxr/seasonic-g12-gc-650-w-80-gold-certified-atx-power-supply-g12-gc-650,355.72,ATX,gold,650,false,Black / Blue
EVGA SuperNOVA 750 G+,https://pcpartpicker.com/product/xTMwrH/evga-supernova-750-g-750-w-80-gold-certified-fully-modular-atx-power-supply-120-gp-0750-x1,,ATX,gold,750,Full,Black
Silverstone SX700-PT,https://pcpartpicker.com/product/W7CFf7/silverstone-700-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx700-pt,186.18,SFX,platinum,700,Full,Black
EVGA GE,https://pcpartpicker.com/product/F688TW/evga-ge-800-w-80-gold-certified-atx-power-supply-200-ge-0800-v1,,ATX,gold,800,false,Black
Gigabyte PW400,https://pcpartpicker.com/product/nByqqs/gigabyte-400-w-80-certified-atx-power-supply-gp-pw400,,ATX,plus,400,false,Black
Corsair HX650,https://pcpartpicker.com/product/KdLypg/corsair-hx650-650-w-80-gold-certified-semi-modular-atx-power-supply-hx650,,ATX,gold,650,Semi,
Corsair Vengeance 750M,https://pcpartpicker.com/product/ZRQG3C/corsair-vengeance-750m-750-w-80-silver-certified-semi-modular-atx-power-supply-cp-9020176-na,,ATX,silver,750,Semi,
Thermalright TB-650,https://pcpartpicker.com/product/WPdG3C/thermalright-tb-650-650-w-80-bronze-certified-fully-modular-atx-power-supply-tb-650,,ATX,bronze,650,Full,Black
Corsair HX1000i (2022),https://pcpartpicker.com/product/XBVmP6/corsair-hx1000i-2022-1000-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020214-na,,ATX,platinum,1000,Full,Black
EVGA 750 B5,https://pcpartpicker.com/product/TxWBD3/evga-750-b5-750-w-80-bronze-certified-fully-modular-atx-power-supply-220-b5-0750-v1,331,ATX,bronze,750,Full,Black
Thermaltake Smart,https://pcpartpicker.com/product/Zbkj4D/thermaltake-smart-430-w-80-certified-atx-power-supply-ps-spd-0430npcwus-w,,ATX,plus,430,false,Black / White
EVGA SuperNOVA 850 GM,https://pcpartpicker.com/product/pt3gXL/evga-supernova-850-gm-850-w-80-gold-certified-fully-modular-sfx-power-supply-123-gm-0850-x1,,SFX,gold,850,Full,Black
Cooler Master MWE Bronze V2,https://pcpartpicker.com/product/Qn9tt6/cooler-master-mwe-bronze-v2-750-w-80-bronze-certified-atx-power-supply-mpe-7501-acaab-us,,ATX,bronze,750,false,Black
Super Flower Zillion FG,https://pcpartpicker.com/product/BqYRsY/super-flower-zillion-fg-850-w-80-gold-certified-fully-modular-atx-power-supply-sf-850z12fg,132.99,ATX,gold,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,https://pcpartpicker.com/product/Nh26Mp/cooler-master-mwe-gold-v2-atx30-1050-w-80-gold-certified-fully-modular-atx-power-supply-mpe-a501-afcag-3,,ATX,gold,1050,Full,Black
MSI MPG A750GF WHITE,https://pcpartpicker.com/product/nFkWGX/msi-mpg-a750gf-white-750-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a750gf-white,,ATX,gold,750,Full,White
PowerSpec GFM,https://pcpartpicker.com/product/jtVmP6/powerspec-gfm-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-750gfm,,ATX,gold,750,Full,Black
Silverstone Strider,https://pcpartpicker.com/product/HHx9TW/silverstone-power-supply-st70fpb,121.29,ATX,bronze,700,Full,
EVGA SuperNOVA 650 G+,https://pcpartpicker.com/product/8PJtt6/evga-supernova-650-g-650-w-80-gold-certified-fully-modular-atx-power-supply-120-gp-0650-x1,,ATX,gold,650,Full,Black
Corsair RMx SHIFT (2025),https://pcpartpicker.com/product/y7Hp99/corsair-rmx-shift-2025-1000-w-fully-modular-side-interface-atx-power-supply-cp-9020300-na,219.99,ATX,,1000,Full / Side,Black
Vida ATX-500W,https://pcpartpicker.com/product/6Zhv6h/vida-atx-500w-500-w-atx-power-supply-atx-500w,,ATX,,500,false,Black
ENDORFY Supremo FM5,https://pcpartpicker.com/product/s6dG3C/endorfy-supremo-fm5-750-w-80-gold-certified-fully-modular-atx-power-supply-ey7a008,,ATX,gold,750,Full,Black
EVGA 500 GD,https://pcpartpicker.com/product/vHhmP6/evga-500-gd-500-w-80-gold-certified-atx-power-supply-100-gd-0500-v1,,ATX,gold,500,false,Black
SeaSonic PRIME TX-850,https://pcpartpicker.com/product/4X2bt6/seasonic-prime-tx-850-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-850,,ATX,titanium,850,Full,Black
Deepcool PK650D,https://pcpartpicker.com/product/GBjRsY/deepcool-pk650d-650-w-80-bronze-certified-atx-power-supply-r-pk650d-fa0b-us,,ATX,bronze,650,false,Black
Corsair CX750 (2017),https://pcpartpicker.com/product/RGCrxr/corsair-cx750-2017-750-w-80-bronze-certified-atx-power-supply-cp-9020123-na,,ATX,bronze,750,false,
SeaSonic VERTEX PX-850,https://pcpartpicker.com/product/8xhFf7/seasonic-vertex-px-850-850-w-80-platinum-certified-fully-modular-atx-power-supply-vertex-px-850,,ATX,platinum,850,Full,Black / Silver
Asus ROG Thor P3 Gaming,https://pcpartpicker.com/product/6yLp99/asus-rog-thor-p3-gaming-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-thor-1200p3-white-gaming,,ATX,platinum,1200,Full,White
FSP Group VITA-750GM,https://pcpartpicker.com/product/37jRsY/fsp-group-vita-750gm-750-w-80-gold-certified-fully-modular-atx-power-supply-vita-750gm,,ATX,gold,750,Full,Black
Corsair HX750i,https://pcpartpicker.com/product/BJFPxr/corsair-hx750i-750-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020072,,ATX,platinum,750,Full,
ADATA XPG KYBER,https://pcpartpicker.com/product/X33NnQ/adata-xpg-kyber-850-w-80-gold-certified-atx-power-supply-kyber850g-bkcus,,ATX,gold,850,false,Black
EVGA 500 BA,https://pcpartpicker.com/product/RzQfrH/evga-500-ba-500-w-80-bronze-certified-atx-power-supply-100-ba-0500-k1,,ATX,bronze,500,false,Black
Corsair SF450 (2016),https://pcpartpicker.com/product/Dv38TW/corsair-sf450-2016-450-w-80-gold-certified-fully-modular-sfx-power-supply-cp-9020104-na,,SFX,gold,450,Full,Black
EVGA 500 B1,https://pcpartpicker.com/product/zNK7YJ/evga-500-b1-500-w-80-bronze-certified-atx-power-supply-100-b1-0500-kr,,ATX,bronze,500,false,
Silverstone Essential,https://pcpartpicker.com/product/w4PKHx/silverstone-essential-550-w-80-gold-certified-semi-modular-atx-power-supply-sst-et550-hg,119.98,ATX,gold,550,Semi,Black
be quiet! Dark Power 12,https://pcpartpicker.com/product/hb8bt6/be-quiet-dark-power-12-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn316,338.01,ATX,titanium,1000,Full,Black
Apex AL-8250SFX,https://pcpartpicker.com/product/Frg323/apex-al-8250sfx-250-w-sfx-power-supply-al-8250sfx,,SFX,,250,false,Silver
Corsair CV750,https://pcpartpicker.com/product/q8C48d/corsair-cv750-750-w-80-bronze-certified-atx-power-supply-cp-9020237-na,,ATX,bronze,750,false,Black
SHARKOON SilentStorm,https://pcpartpicker.com/product/BpF48d/sharkoon-silentstorm-500w-80-gold-certified-fully-modular-sfx-power-supply-4044951016419,186.85,SFX,gold,500,Full,Black
MSI MEG Ai1000P PCIE5,https://pcpartpicker.com/product/PdKKHx/msi-meg-ai1000p-pcie5-1000-w-80-platinum-certified-fully-modular-atx-power-supply-meg-ai1000p-pcie5,,ATX,platinum,1000,Full,Black / Copper
Thermaltake Toughpower Grand RGB,https://pcpartpicker.com/product/h7Nypg/thermaltake-toughpower-grand-rgb-850w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0850fpcgus-r,,ATX,gold,850,Full,
Cooler Master V Platinum V2,https://pcpartpicker.com/product/GBJBD3/cooler-master-v-platinum-v2-1100-w-80-platinum-certified-fully-modular-atx-power-supply-mpz-b002-afap,258.99,ATX,platinum,1100,Full,Black / Purple
SeaSonic FOCUS Plus Platinum,https://pcpartpicker.com/product/dCs8TW/seasonic-focus-plus-platinum-750w-80-platinum-certified-fully-modular-atx-power-supply-ssr-750px,,ATX,platinum,750,Full,
Gigabyte UD850GM-A,https://pcpartpicker.com/product/NGKscf/gigabyte-ud850gm-a-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm-a,89.99,ATX,gold,850,Full,Black
SeaSonic CORE GM,https://pcpartpicker.com/product/sMrYcf/seasonic-core-gm-650-w-80-gold-certified-semi-modular-atx-power-supply-core-gm-650,,ATX,gold,650,Semi,Black
PC Cooler KN750,https://pcpartpicker.com/product/shxTwP/pc-cooler-kn750-750-w-80-gold-certified-fully-modular-atx-power-supply-p3-kn750-g1f,,ATX,gold,750,Full,Black
Corsair CX550M (2021),https://pcpartpicker.com/product/9HTp99/corsair-cx550m-2021-550-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020220-na,,ATX,bronze,550,Semi,Black
Thermaltake Toughpower Grand RGB,https://pcpartpicker.com/product/v4L7YJ/thermaltake-toughpower-grand-rgb-650w-80-gold-certified-fully-modular-atx-power-supply-ps-tpg-0650fpcgus-r,,ATX,gold,650,Full,
EVGA SuperNOVA 1200 P3,https://pcpartpicker.com/product/WTD7YJ/evga-supernova-1200-p3-1200-w-80-platinum-certified-fully-modular-atx-power-supply-220-p3-1200-x1,,ATX,platinum,1200,Full,Black / Silver
SeaSonic FOCUS Plus Gold,https://pcpartpicker.com/product/yTMwrH/seasonic-focus-plus-gold-1000-w-80-gold-certified-fully-modular-atx-power-supply-ssr-1000fx,,ATX,gold,1000,Full,Black
SeaSonic Platinum,https://pcpartpicker.com/product/fBXfrH/seasonic-power-supply-ss400fl2,,ATX,platinum,400,Full,
Corsair TX750M,https://pcpartpicker.com/product/J6gFf7/corsair-tx750m-750-w-80-gold-certified-semi-modular-atx-power-supply-cp-9020230-eu,,ATX,gold,750,Semi,Black
EVGA SuperNOVA 1300 P+,https://pcpartpicker.com/product/JJrRsY/evga-supernova-1300-p-1300-w-80-platinum-certified-fully-modular-atx-power-supply-220-pp-1300-x1,,ATX,platinum,1300,Full,Black
FSP Group Hydro G Pro,https://pcpartpicker.com/product/Q4snTW/fsp-group-hydro-g-pro-1000-w-80-gold-certified-fully-modular-atx-power-supply-hg2-1000,,ATX,gold,1000,Full,Black
EVGA SuperNOVA 850 G+,https://pcpartpicker.com/product/wfVD4D/evga-supernova-850-g-850-w-80-gold-certified-fully-modular-atx-power-supply-120-gp-0850-x1,,ATX,gold,850,Full,
SeaSonic PRIME PX,https://pcpartpicker.com/product/pkpzK8/seasonic-prime-px-1600-w-80-platinum-certified-fully-modular-atx-power-supply-prime-px-1600,,ATX,platinum,1600,Full,Black / Silver
be quiet! System Power 10,https://pcpartpicker.com/product/4pytt6/be-quiet-system-power-10-850-w-80-gold-certified-atx-power-supply-bn330,,ATX,gold,850,false,Black
GameMax RGB Rainbow,https://pcpartpicker.com/product/cDxbt6/gamemax-rgb-850-w-80-gold-certified-fully-modular-atx-power-supply-rgb-850,,ATX,gold,850,Full,Black
EVGA 450 BT,https://pcpartpicker.com/product/GQX2FT/evga-450-bt-450-w-80-bronze-certified-atx-power-supply-100-bt-0450-k1,,ATX,bronze,450,false,
Corsair CX750F,https://pcpartpicker.com/product/F4yqqs/corsair-cx750f-750-w-80-bronze-certified-fully-modular-atx-power-supply-cp-9020227-na,,ATX,bronze,750,Full,White / Black
Xilence XP650R6.2,https://pcpartpicker.com/product/6HcgXL/xilence-xp650r62-650-w-80-certified-atx-power-supply-xn420,,ATX,plus,650,false,Black
Fractal Design Ion Gold,https://pcpartpicker.com/product/8ZJgXL/fractal-design-ion-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-fd-p-ia2g-850,,ATX,gold,850,Full,Black
Xilence XP600R6,https://pcpartpicker.com/product/NCMwrH/xilence-xp600r6-600-w-atx-power-supply-xn044,99.01,ATX,,600,false,Black / Red
ENDORFY Vero L5,https://pcpartpicker.com/product/dwZXsY/endorfy-vero-l5-500-w-80-bronze-certified-atx-power-supply-ey7a004,112.19,ATX,bronze,500,false,Black
Corsair TX750,https://pcpartpicker.com/product/N7jG3C/corsair-tx750-750-w-80-certified-atx-power-supply-cmpsu-750tx,,ATX,plus,750,false,
Thermaltake Toughpower iRGB PLUS 750,https://pcpartpicker.com/product/NWGnTW/thermaltake-toughpower-irgb-plus-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpi-0750f3fdgu-1,134.99,ATX,gold,750,Full,Black
KOLINK ENCLAVE,https://pcpartpicker.com/product/TFkH99/kolink-enclave-700-w-80-gold-certified-fully-modular-atx-power-supply-pgw-ps-kol-018,,ATX,gold,700,Full,Black
Corsair AX860,https://pcpartpicker.com/product/B9kD4D/corsair-ax860-860-w-80-platinum-certified-fully-modular-atx-power-supply-ax860,,ATX,platinum,860,Full,
GAMDIAS HELIOS P2-750G,https://pcpartpicker.com/product/nXkqqs/gamdias-helios-p2-750g-750-w-80-gold-certified-atx-power-supply-helios-p2-750g,,ATX,gold,750,false,Black
Corsair RM750i,https://pcpartpicker.com/product/C3bkcf/corsair-rm750i-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020082-na,,ATX,gold,750,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,https://pcpartpicker.com/product/YDJp99/thermaltake-toughpower-gf-a3-tt-premium-edition-1200-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-1200fnfage-h,,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,https://pcpartpicker.com/product/9GLdnQ/thermaltake-toughpower-gf-a3-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagu-l,109.99,ATX,gold,750,Full,Black
SeaSonic PRIME TX,https://pcpartpicker.com/product/HyYmP6/seasonic-prime-tx-1300-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-1300,,ATX,titanium,1300,Full,Black / Silver
ARESGAME AGT,https://pcpartpicker.com/product/Hn6p99/aresgame-agt-1000-w-80-gold-certified-fully-modular-atx-power-supply-tx1000,,ATX,gold,1000,Full,Black
Razer Katana Chroma,https://pcpartpicker.com/product/CVJgXL/razer-katana-chroma-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rc21-01840400-r3ut,,ATX,platinum,1200,Full,Black
NZXT C750 (2023),https://pcpartpicker.com/product/crhv6h/nzxt-c750-2023-750-w-80-bronze-certified-atx-power-supply-pa-7b2bb-us,,ATX,bronze,750,false,Black
EVGA SuperNOVA 1300 GT,https://pcpartpicker.com/product/h2C48d/evga-supernova-1300-gt-1300-w-80-gold-certified-fully-modular-atx-power-supply-220-gt-1300-x1,,ATX,gold,1300,Full,Black
Antec CSK,https://pcpartpicker.com/product/mdLFf7/antec-csk-650-w-80-bronze-certified-atx-power-supply-csk650,,ATX,bronze,650,false,Black / Yellow
GameMax GP,https://pcpartpicker.com/product/F27p99/gamemax-gp-650-w-80-bronze-certified-atx-power-supply-gp-650,,ATX,bronze,650,false,Black
Corsair RM550x (2018),https://pcpartpicker.com/product/bqVD4D/corsair-rm550x-2018-550-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020177-na,,ATX,gold,550,Full,Black / Silver
EVGA SuperNOVA 650 G1,https://pcpartpicker.com/product/g63RsY/evga-supernova-650-g1-650-w-80-gold-certified-fully-modular-atx-power-supply-120-g1-0650-xr,,ATX,gold,650,Full,
