name,part_url,price,bd,dvd,cd,bd_write,dvd_write,cd_write
LG GH22NS90B,https://pcpartpicker.com/product/g2yFf7/lg-optical-drive-gh22ns90b,,,16,48,,22/8/8/22/6/8/12,48/32
Samsung SH-222AL/BSBS,https://pcpartpicker.com/product/tth9TW/samsung-optical-drive-sh222albsbs,,,22,48,,22/8/16/22/6/12/12,48/24
LG WH12LS39,https://pcpartpicker.com/product/NQ4gXL/lg-optical-drive-wh12ls39,,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
Pioneer BDR-2208,https://pcpartpicker.com/product/WzQypg/pioneer-optical-drive-bdr2208,,12,16,40,15/14/2/2,16/8/8/16/6/8/5,40/24
LG UH12NS29,https://pcpartpicker.com/product/zhbp99/lg-optical-drive-uh12ns29,,10,16,48,,16/8/8/16/6/8/12,48/24
LG CH10LS20 OEM,https://pcpartpicker.com/product/RYxfrH/lg-optical-drive-ch10ls20oem,,10,16,48,,16/8/-/16/6/-/-,48/24
Lite-On IHAS324-07,https://pcpartpicker.com/product/gtMFf7/lite-on-optical-drive-ihas32407,,,16,48,,24/8/12/24/6/-/-,48/32
Asus DVD-E818AAT/BLK/B/GEN,https://pcpartpicker.com/product/RwxfrH/asus-optical-drive-dvde818aatblkbgen,,,18,48,,,
Silverstone SOD02B,https://pcpartpicker.com/product/Rzbp99/silverstone-optical-drive-sod02b,,,8,24,,8/8/6/8/6/6/5,24/4
OcUK CD-004-OK,https://pcpartpicker.com/product/YmV48d/ocuk-optical-drive-cd004ok,,8,,,,16/16/8/16/16/8/-,48/24
Lite-On SOHW-832S,https://pcpartpicker.com/product/4gs8TW/lite-on-optical-drive-sohw832s,,,12,40,,8/4/2/8/4/2/-,40/24
LG GUB0N,https://pcpartpicker.com/product/tP648d/lg-optical-drive-gub0n,,,8,24,,8/6/6/8/6/6/5,24/24
Asus DRW-24D3ST,https://pcpartpicker.com/product/2KBrxr/asus-optical-drive-drw24d3st,,,16,48,,16/13/12/16/8/12/5,48/40
Samsung SH-216DB,https://pcpartpicker.com/product/svfmP6/samsung-optical-drive-sh216db,,,,,,16/8/8/16/6/8/5,48/24
LG GH10N,https://pcpartpicker.com/product/NhkwrH/lg-optical-drive-gh10n,,,,,,,
LG UH12NS40,https://pcpartpicker.com/product/QC648d/lg-uh12ns40-blu-ray-reader-dvdcd-writer-uh12ns40,,12,16,48,,16/8/8/16/6/8/5,48/24
Samsung SH-224GB/BSBE,https://pcpartpicker.com/product/msL7YJ/samsung-sh-224gbbsbe-dvdcd-writer-sh-224gbbsbe,,,16,48,,24/8/8/24/6/8/5,48/24
LG GH22LS50,https://pcpartpicker.com/product/XjG2FT/lg-gh22ls50-dvdcd-writer-gh22ls50,,,12,48,,22/8/16/22/6/12/12,48/32
HP bd340i,https://pcpartpicker.com/product/Nrbp99/hp-optical-drive-bd340i,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
LG GH22NP21,https://pcpartpicker.com/product/7mMFf7/lg-optical-drive-gh22np21,,,16,48,,22/8/16/22/6/12/12,48/32
LG GH24NS70 OEM,https://pcpartpicker.com/product/VMW9TW/lg-optical-drive-gh24ns70oem,,,16,48,,24/8/8/24/6/8/12,48/32
HP 481041-B21,https://pcpartpicker.com/product/XKtCmG/hp-optical-drive-481041b21,,,8,24,,,
Samsung SH-B123L,https://pcpartpicker.com/product/chzv6h/samsung-optical-drive-shb123l,,12,16,48,,16/8/8/16/6/8/12,48/4
Sony BC-5640H-01,https://pcpartpicker.com/product/rZbp99/sony-optical-drive-bc5640h01,,6,8,24,,8/8/6/8/6/6/5,24/16
Plextor PX-B320SA SW,https://pcpartpicker.com/product/pXw323/plextor-optical-drive-pxb320sasw,,8,16,48,,16/8/8/16/6/8/12,48/32
Lite-On iHOS104-08,https://pcpartpicker.com/product/Zhzv6h/lite-on-optical-drive-ihos10408,,4,8,32,,,
Lite-On Ihap322-98,https://pcpartpicker.com/product/DPphP6/lite-on-optical-drive-ihap32298,,,16,48,,22/8/-/22/6/-/12,48/32
Lite-On iHAS424-98,https://pcpartpicker.com/product/L8tCmG/lite-on-optical-drive-ihas42498,,,16,48,,24/8/12/24/6/12/12,48/32
Sony AD-7260S-01,https://pcpartpicker.com/product/zJ3RsY/sony-optical-drive-ad7260s01,,,16,48,,24/8/12/24/6/12/12,48/32
Lite-On DS-8A5S,https://pcpartpicker.com/product/jXckcf/lite-on-optical-drive-ds8a5s,,,8,24,,8/8/6/8/6/6/5,24/24
MSI DH-18D5S,https://pcpartpicker.com/product/3FV48d/msi-optical-drive-dh18d5s,,,18,48,,,
Lite-On iHES112-29,https://pcpartpicker.com/product/kdR48d/lite-on-optical-drive-ihes11229,,12,16,48,,16/8/8/16/6/8/12,48/24
Lite-On ihes112-04,https://pcpartpicker.com/product/PbMFf7/lite-on-optical-drive-ihes11204,,12,16,48,,16/8/8/16/6/8/12,48/24
Teac DV516E/B/S,https://pcpartpicker.com/product/mkMFf7/teac-optical-drive-dv516ebs,,,16,48,,,
Plextor PX-LB950SA,https://pcpartpicker.com/product/CWh9TW/plextor-optical-drive-pxlb950sa,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
LG WH12LS38,https://pcpartpicker.com/product/Lgg323/lg-optical-drive-wh12ls38,,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24
I/O Magic IBD1,https://pcpartpicker.com/product/mGCwrH/io-magic-optical-drive-ibd1,,10,16,48,10/8/2/-,16/8/4/16/6/4/-,48/24
Samsung SN-208BB,https://pcpartpicker.com/product/NQJwrH/samsung-optical-drive-sn208bb,,,8,24,,8/8/8/8/6/8/5,24/4
Gear Head 24XDVDINTLS,https://pcpartpicker.com/product/jVphP6/gear-head-optical-drive-24xdvdintls,,,,,,24/8/12/24/-/12/12,
Samsung TS-H353C,https://pcpartpicker.com/product/8BV48d/samsung-optical-drive-tsh353c,,,16,40,,,
Samsung SH-222BB/BEBE,https://pcpartpicker.com/product/gBK7YJ/samsung-optical-drive-sh222bbbebe,,,16,48,,22/8/8/22/6/8/12,48/24
LG CH10LS28,https://pcpartpicker.com/product/skphP6/lg-optical-drive-ch10ls28,,10,16,48,,16/8/8/16/6/8/12,48/24
Pioneer BDR-207MBK,https://pcpartpicker.com/product/sZNp99/pioneer-optical-drive-bdr207mbk,,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
Pioneer BDR-2206,https://pcpartpicker.com/product/J8Gkcf/pioneer-optical-drive-bdr2206,,8,12,40,12/12/2/2,16/8/8/16/6/8/-,40/24
Lite-On ihas524-T06,https://pcpartpicker.com/product/4Q4gXL/lite-on-optical-drive-ihas524t06,,,16,48,,24/8/12/24/6/12/12,48/32
LG UH12LS29,https://pcpartpicker.com/product/WvMFf7/lg-optical-drive-uh12ls29,,10,16,48,,16/8/8/16/6/8/12,48/24
LG BT30N,https://pcpartpicker.com/product/6XK7YJ/lg-optical-drive-bt30n,,6,8,24,6/6/2/-,8/8/6/8/6/6/5,24/24
