name,part_url,price,socket,form_factor,max_memory,memory_slots,color
ASRock Z590 Steel Legend WiFi 6E,https://pcpartpicker.com/product/gBbTwP/asrock-z590-steel-legend-wifi-6e-atx-lga1200-motherboard-z590-steel-legend-wifi-6e,,LGA1200,ATX,128,4,Silver / Black
EVGA Z690 DARK K|NGP|N,https://pcpartpicker.com/product/BkrRsY/evga-z690-dark-kngpn-eatx-lga1700-motherboard-121-al-e699-kr,,LGA1700,EATX,64,2,Black / Gold
Gigabyte GA-H81M-S2V,https://pcpartpicker.com/product/tDRYcf/gigabyte-ga-h81m-s2v-micro-atx-lga1150-motherboard-ga-h81m-s2v,,LGA1150,Micro ATX,16,2,Brown / Black
Asus Z790M GAMING PLUS WIFI,https://pcpartpicker.com/product/3Zrp99/asus-z790m-gaming-plus-wifi-micro-atx-lga1700-motherboard-z790m-gaming-plus-wifi,,LGA1700,Micro ATX,256,4,White
Gigabyte B860M DS3H,https://pcpartpicker.com/product/VGG2FT/gigabyte-b860m-ds3h-micro-atx-lga1851-motherboard-b860m-ds3h,227.92,LGA1851,Micro ATX,256,4,Silver / Black
Supermicro C9Z390-CG-IW,https://pcpartpicker.com/product/rLgzK8/supermicro-c9z390-cg-iw-mini-itx-lga1151-motherboard-mbd-c9z390-cg-iw-o,641.5,LGA1151,Mini ITX,64,2,Black
Asus TUF GAMING B760M-PLUS WIFI,https://pcpartpicker.com/product/gvn9TW/asus-tuf-gaming-b760m-plus-wifi-micro-atx-lga1700-motherboard-tuf-gaming-b760m-plus-wifi,,LGA1700,Micro ATX,192,4,Black / Orange
ASRock H410M-HDV,https://pcpartpicker.com/product/JR6qqs/asrock-h410m-hdv-micro-atx-lga1200-motherboard-h410m-hdv,,LGA1200,Micro ATX,64,2,Black / Silver
Gigabyte B660M AORUS ELITE AX DDR4,https://pcpartpicker.com/product/7c3gXL/gigabyte-b660m-aorus-elite-ax-ddr4-micro-atx-lga1700-motherboard-b660m-aorus-elite-ax-ddr4,,LGA1700,Micro ATX,128,4,Black
Asus Rampage III Gene,https://pcpartpicker.com/product/fyzv6h/asus-motherboard-rampageiiigene,,LGA1366,Micro ATX,24,6,Black / Red
Asus P6X58D Premium,https://pcpartpicker.com/product/MVzv6h/asus-motherboard-p6x58dpremium,,LGA1366,ATX,24,6,Black / Blue
Asus P8Z68-V PRO,https://pcpartpicker.com/product/LnR48d/asus-motherboard-p8z68vpro,,LGA1155,ATX,32,4,Black / Blue
Asus Z9PE-D8 WS,https://pcpartpicker.com/product/zwBv6h/asus-motherboard-z9ped8ws,,2 x LGA2011,SSI EEB,64,8,Black / Blue
MSI H81M-E33,https://pcpartpicker.com/product/Drdqqs/msi-motherboard-h81me33,,LGA1150,Micro ATX,16,2,Black / Blue
MSI H81I,https://pcpartpicker.com/product/7z2kcf/msi-motherboard-h81i,,LGA1150,Mini ITX,16,2,Black / Blue
Gigabyte GA-H81M-S2H,https://pcpartpicker.com/product/m3Crxr/gigabyte-motherboard-gah81ms2h,,LGA1150,Micro ATX,16,2,Black / Silver
Asus B85M-GAMER,https://pcpartpicker.com/product/Bn7CmG/asus-motherboard-b85mgamer,,LGA1150,Micro ATX,32,4,Black / Red
MSI B150 PC Mate,https://pcpartpicker.com/product/NdmxFT/msi-motherboard-b150pcmate,,LGA1151,ATX,64,4,Black / Silver
Gigabyte GA-EP45-UD3R,https://pcpartpicker.com/product/XCzZxr/gigabyte-motherboard-gaep45ud3r,,LGA775,ATX,16,4,Multicolor
MSI C236M WORKSTATION,https://pcpartpicker.com/product/r4s8TW/msi-motherboard-c236mworkstation,,LGA1151,Micro ATX,64,4,Black / Silver
Asus PRIME Z270-AR,https://pcpartpicker.com/product/VVZ2FT/asus-prime-z270-ar-atx-lga1151-motherboard-prime-z270-ar,,LGA1151,ATX,64,4,Black / White
MSI B250 GAMING M3,https://pcpartpicker.com/product/sDfmP6/msi-b250-gaming-m3-atx-lga1151-motherboard-b250-gaming-m3,,LGA1151,ATX,64,4,Black / Red
Biostar B350GTN,https://pcpartpicker.com/product/R6tWGX/biostar-b350gtn-mini-itx-am4-motherboard-b350gtn,,AM4,Mini ITX,32,2,Black
Asus ROG STRIX B250G GAMING,https://pcpartpicker.com/product/bQX2FT/asus-rog-strix-b250g-gaming-micro-atx-lga1151-motherboard-rog-strix-b250g-gaming,,LGA1151,Micro ATX,64,4,Black / Red
MSI Z370 TOMAHAWK,https://pcpartpicker.com/product/HLvZxr/msi-z370-tomahawk-atx-lga1151-motherboard-z370-tomahawk,,LGA1151,ATX,64,4,Black / Gray
Gigabyte B360M D3P,https://pcpartpicker.com/product/hmF48d/gigabyte-b360m-d3p-micro-atx-lga1151-motherboard-b360m-d3p,,LGA1151,Micro ATX,64,4,Silver / Black
Gigabyte H310M A,https://pcpartpicker.com/product/pmF48d/gigabyte-h310m-a-micro-atx-lga1151-motherboard-h310m-a,,LGA1151,Micro ATX,32,2,Silver / Brown
MSI H310M GAMING ARCTIC,https://pcpartpicker.com/product/4Zzkcf/msi-h310m-gaming-arctic-micro-atx-lga1151-motherboard-h310m-gaming-arctic,,LGA1151,Micro ATX,32,2,White
MSI PRESTIGE X570 CREATION,https://pcpartpicker.com/product/KBmFf7/msi-prestige-x570-creation-eatx-am4-motherboard-prestige-x570-creation,,AM4,EATX,128,4,Black / Silver
ASRock B460 Phantom Gaming 4,https://pcpartpicker.com/product/M39tt6/asrock-b460-phantom-gaming-4-atx-lga1200-motherboard-b460-phantom-gaming-4,,LGA1200,ATX,128,4,Black
ASRock B560 Steel Legend,https://pcpartpicker.com/product/KHhFf7/asrock-b560-steel-legend-atx-lga1200-motherboard-b560-steel-legend,,LGA1200,ATX,128,4,Silver / Black
MSI PRO B650M-A,https://pcpartpicker.com/product/mrV2FT/msi-pro-b650m-a-micro-atx-am5-motherboard-pro-b650m-a,,AM5,Micro ATX,192,4,Black / Silver
Gigabyte B560M DS3H V3,https://pcpartpicker.com/product/8cFmP6/gigabyte-b560m-ds3h-v3-micro-atx-lga1200-motherboard-b560m-ds3h-v3,,LGA1200,Micro ATX,128,4,Black
Asus PRIME B650M-A AX6 II-CSM,https://pcpartpicker.com/product/7Xrqqs/asus-prime-b650m-a-ax6-ii-csm-micro-atx-am5-motherboard-prime-b650m-a-ax6-ii-csm,,AM5,Micro ATX,192,4,Black
Asus PRIME B760M-F WIFI,https://pcpartpicker.com/product/vGh2FT/asus-prime-b760m-f-wifi-micro-atx-lga1700-motherboard-prime-b760m-f-wifi,,LGA1700,Micro ATX,96,2,Black
ASRock Z390 Phantom Gaming SLI/ac,https://pcpartpicker.com/product/Nczkcf/asrock-z390-phantom-gaming-sliac-atx-lga1151-motherboard-z390-phantom-gaming-sliac,,LGA1151,ATX,128,4,Black / Silver
MSI MEG X299 CREATION,https://pcpartpicker.com/product/ZB66Mp/msi-meg-x299-creation-eatx-lga2066-motherboard-meg-x299-creation,,LGA2066,EATX,128,8,Black
ASRock Z790 PG Lightning/D4,https://pcpartpicker.com/product/w93gXL/asrock-z790-pg-lightningd4-atx-lga1700-motherboard-z790-pg-lightningd4,,LGA1700,ATX,128,4,Black
MSI PRO B760M-G DDR4,https://pcpartpicker.com/product/wjjBD3/msi-pro-b760m-g-ddr4-micro-atx-lga1700-motherboard-pro-b760m-g-ddr4,,LGA1700,Micro ATX,64,2,Black
ASRock P45X3 Deluxe,https://pcpartpicker.com/product/Fbg323/asrock-motherboard-p45x3deluxe,,LGA775,ATX,16,4,Black / Blue
ASRock X58 Extreme6,https://pcpartpicker.com/product/3jV48d/asrock-motherboard-x58extreme6,299.1,LGA1366,ATX,24,6,Black / Blue
Gigabyte GA-H77M-D3H,https://pcpartpicker.com/product/J47wrH/gigabyte-motherboard-gah77md3h,,LGA1155,Micro ATX,32,4,Blue / White
Gigabyte GA-Z77-DS3H,https://pcpartpicker.com/product/pwBv6h/gigabyte-motherboard-gaz77ds3h,,LGA1155,ATX,32,4,Blue / White
ASRock H77M,https://pcpartpicker.com/product/KvMFf7/asrock-motherboard-h77m,,LGA1155,Micro ATX,16,2,Brown / Black
Gigabyte GA-X79-UP4,https://pcpartpicker.com/product/cKw323/gigabyte-motherboard-gax79up4,,LGA2011,ATX,64,8,Black / Gray
Asus A88XM-Plus,https://pcpartpicker.com/product/YwPzK8/asus-motherboard-a88xmplus,,FM2+,Micro ATX,64,4,Black / Gold
