name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Naga V2 Pro,https://pcpartpicker.com/product/fd6NnQ/razer-naga-v2-pro-bluetoothwirelesswired-optical-mouse-rz01-04400100-r3u1,172.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech MX Master 4,https://pcpartpicker.com/product/3km2FT/logitech-mx-master-4-wirelessbluetooth-optical-mouse-910-007560,134.99,Optical,"Wireless, Bluetooth Wireless",8000,Right,Black
Logitech G502 Proteus Spectrum,https://pcpartpicker.com/product/kJM323/logitech-mouse-910004615,118.48,Optical,Wired,12000,Right,Black
Glorious Model O-,https://pcpartpicker.com/product/yhjRsY/glorious-model-o-wiredwireless-optical-mouse-glo-ms-omw-mb,88,Optical,"Wired, Wireless",19000,Right,Black
Asus P707 ROG SPATHA X,https://pcpartpicker.com/product/Tqnypg/asus-p707-rog-spatha-x-wireless-optical-mouse-p707-rog-spatha-x,139.99,Optical,Wireless,19000,Right,Black
SteelSeries Rival 5,https://pcpartpicker.com/product/g38bt6/steelseries-rival-5-wired-optical-mouse-62551,76.99,Optical,Wired,18000,Right,Black
Razer DeathAdder V2 X HyperSpeed,https://pcpartpicker.com/product/99M48d/razer-deathadder-v2-x-hyperspeed-bluetoothwireless-optical-mouse-rz01-04130100-r3u1,54.99,Optical,"Wireless, Bluetooth Wireless",14000,Right,Black
Logitech PRO X SUPERLIGHT 2c,https://pcpartpicker.com/product/rppD4D/logitech-pro-x-superlight-2c-wireless-optical-mouse-910-007518,197.99,Optical,Wireless,44000,Right,Black
SteelSeries Aerox 3 (2022),https://pcpartpicker.com/product/8WTp99/steelseries-aerox-3-2022-wiredbluetoothwireless-optical-mouse-62608,98.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,White
Razer DeathAdder V3 Pro,https://pcpartpicker.com/product/TxpzK8/razer-deathadder-v3-pro-wireless-optical-mouse-rz01-04630100-r3u1,124.99,Optical,Wireless,30000,Right,Black
Corsair NIGHTSWORD RGB,https://pcpartpicker.com/product/wWYLrH/corsair-nightsword-rgb-wired-optical-mouse-ch-9306011-na,79.98,Optical,Wired,18000,Right,Black
Razer Basilisk V3 Pro,https://pcpartpicker.com/product/pc2WGX/razer-basilisk-v3-pro-wiredbluetoothwireless-optical-mouse-rz01-04620200-r3u1,98.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White / Black
Redragon M602,https://pcpartpicker.com/product/X9w7YJ/redragon-m602-wired-optical-mouse-m602,24.98,Optical,Wired,7200,Right,Black
Logitech M90,https://pcpartpicker.com/product/v4tKHx/logitech-m90-wired-optical-mouse-910-001793,,Optical,Wired,1000,Both,Black
Logitech G502 X,https://pcpartpicker.com/product/vkxRsY/logitech-g502-x-wired-optical-mouse-910-006136,88.99,Optical,Wired,25600,Right,Black
Logitech MX Master 4,https://pcpartpicker.com/product/RbxTwP/logitech-mx-master-4-wirelessbluetooth-optical-mouse-910-007558,119.99,Optical,"Wireless, Bluetooth Wireless",8000,Right,Gunmetal
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/3CMMnQ/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006795,211.99,Optical,"Wired, Wireless",32000,Right,Pink
Redragon M908 IMPACT MMO,https://pcpartpicker.com/product/wtGbt6/redragon-m908-impact-mmo-wired-optical-mouse-m908,24.99,Optical,Wired,12400,Right,Black
Logitech G203 Lightsync,https://pcpartpicker.com/product/7ZhmP6/logitech-g203-lightsync-wired-optical-mouse-910-005791,20.9,Optical,Wired,8000,Right,White
SteelSeries Rival 3,https://pcpartpicker.com/product/W6K2FT/steelseries-rival-3-wired-optical-mouse-62513,19.99,Optical,Wired,8500,Right,Black
Corsair M65 RGB ULTRA,https://pcpartpicker.com/product/cBxRsY/corsair-m65-rgb-ultra-wired-optical-mouse-ch-9309411-na,58.99,Optical,Wired,26000,Right,Black / Silver
Asus ROG HARPE ACE AIM LAB EDITION,https://pcpartpicker.com/product/JqsV3C/asus-rog-harpe-ace-aim-lab-edition-wirelesswired-optical-mouse-p713-rog-harpe-ace-aim-lab-editionblk,69.98,Optical,"Wired, Wireless",36000,Right,Black
Redragon M656,https://pcpartpicker.com/product/TMvscf/redragon-m656-wireless-optical-mouse-m656,19.98,Optical,Wireless,4000,Right,Red
Razer Cobra,https://pcpartpicker.com/product/7Ngrxr/razer-cobra-wired-optical-mouse-rz01-04650100-r3u1,31.99,Optical,Wired,8500,Right,Black
Logitech G502 X,https://pcpartpicker.com/product/VKWzK8/logitech-g502-x-wired-optical-mouse-910-006144,75.99,Optical,Wired,25600,Right,White
Logitech G604 LIGHTSPEED,https://pcpartpicker.com/product/nmkgXL/logitech-g604-lightspeed-wireless-optical-mouse-910-005622,467,Optical,Wireless,25600,Right,Black
SteelSeries Aerox 9,https://pcpartpicker.com/product/kKD7YJ/steelseries-aerox-9-wireless-optical-mouse-62618,144.74,Optical,Wireless,18000,Right,Black
