name,part_url,price,configuration,wattage,frequency_response,color
Creative Labs SXFI Carrier,https://pcpartpicker.com/product/Kzh2FT/creative-labs-sxfi-carrier-450-w-21-channel-speakers-51mf8345aa000,,2.1,450,"25,20",Black
SteelSeries Arena 3 US,https://pcpartpicker.com/product/qymmP6/steelseries-arena-3-us-speakers-61534,135.44,2,,"50,20",Black
Logitech Z506,https://pcpartpicker.com/product/YwLypg/logitech-speakers-980000430,,5.1,155,"45,20",
JBL LSR305,https://pcpartpicker.com/product/b6RFf7/jbl-speakers-lsr305,,2,82,"43,24",
Logitech Z213,https://pcpartpicker.com/product/KcQypg/logitech-speakers-980000941,,2.1,7,"65,20",
NZXT Relay,https://pcpartpicker.com/product/gzZXsY/nzxt-relay-80-w-speakers-ap-spkb2-us,,2,80,"70,20",Black
Yamaha HS5 W,https://pcpartpicker.com/product/v7PKHx/yamaha-hs5-w-70w-1ch-speakers-hs5-w,204.99,1,70,"54,30",
Audioengine A5+ White,https://pcpartpicker.com/product/wHXfrH/audioengine-a5-white-150-w-speakers-a5plus-white,458,2,150,"50,22",White
Creative Labs T100,https://pcpartpicker.com/product/NnGnTW/creative-labs-t100-40-w-speakers-t100,104.49,2,40,"50,20",Black
Kanto YU2MB,https://pcpartpicker.com/product/7vc48d/kanto-yu2mb-50w-2ch-speakers-yu2mb,210.5,2,50,"80,20",Black
Creative Labs Creative Stage,https://pcpartpicker.com/product/Xtstt6/creative-labs-creative-stage-80-w-21-channel-speakers-mf8360,,2.1,80,"55,20",Black
Cyber Acoustics CA-2016WB,https://pcpartpicker.com/product/dwLypg/cyber-acoustics-speakers-ca2016wb,20.32,2,3,"260,20",
Corsair Gaming Audio Series SP2500,https://pcpartpicker.com/product/Gj6BD3/corsair-speakers-casp211na,,2.1,232,"35,20",
Razer Leviathan,https://pcpartpicker.com/product/BFTrxr/razer-speakers-rz0501260100r3u1,,5.1,60,"180,20",
Audioengine A2+W,https://pcpartpicker.com/product/GpH48d/audioengine-speakers-a2w,,2,60,"65,22",
Razer Nommo V2,https://pcpartpicker.com/product/djNYcf/razer-nommo-v2-21-channel-speakers-rz05-04750100-r3u1,372.99,2.1,,"40,20",Black
Trust Gemi,https://pcpartpicker.com/product/Z4FmP6/trust-gemi-12-w-speakers-22948,81.99,2,12,"20,20",Black
JBL C2PS,https://pcpartpicker.com/product/L7BTwP/jbl-c2ps-70w-2ch-speakers-c2ps,334.99,2,70,"80,20",Black
Onkyo GX-30ARC,https://pcpartpicker.com/product/2n62FT/onkyo-gx-30arc-50-w-speakers-gx30arcbcuu,329.99,2,50,"20,20",Black
Creative Labs Creative Stage V2,https://pcpartpicker.com/product/hND7YJ/creative-labs-creative-stage-v2-80-w-21-channel-speakers-mf8375,111.49,2.1,80,"55,20",Black
Onkyo GX-10DB,https://pcpartpicker.com/product/rXkqqs/onkyo-gx-10db-34-w-speakers-gx10dbwcuu,243.99,2,34,"20,20",White
Edifier R33BT,https://pcpartpicker.com/product/zxmNnQ/edifier-r33bt-10-w-speakers-r33bt,106.99,2,10,"70,20",Black
Audioengine HD3-BLK,https://pcpartpicker.com/product/Hy848d/audioengine-hd3-blk-60-w-20-channel-speakers-hd3-blk,359,2,60,"65,22",Black
Edifier S880DB MKII,https://pcpartpicker.com/product/8LHp99/edifier-s880db-mkii-88-w-speakers-s880db-mkii,483.99,2,88,"50,40",White
AmazonBasics V216US,https://pcpartpicker.com/product/gTJmP6/amazonbasics-v216us-22-w-20-channel-speakers-v216us,39.39,2,4.6,"68,20",Black
ADAM Audio T8V,https://pcpartpicker.com/product/Rv3NnQ/adam-audio-t8v-180-w-speaker-11103410,402.99,1,180,"33,25",Black
PreSonus Eris E3.5 BT,https://pcpartpicker.com/product/jmfFf7/presonus-eris-e35-bt-50-w-20-channel-speakers-eris-e35-bt,,2,50,"80,20",Black
AmazonBasics V620,https://pcpartpicker.com/product/q24Zxr/amazonbasics-v620-24-w-speakers-v620silver,,2,2.4,"80,20",Silver
M-Audio BX5 D2,https://pcpartpicker.com/product/sgvRsY/m-audio-speaker-bx5d2,,2,140,"56,22",
NZXT Relay,https://pcpartpicker.com/product/RgP8TW/nzxt-relay-140-w-speaker-ap-sub80-us,,1,140,"45,150",Black
Audioengine A5+ Bamboo,https://pcpartpicker.com/product/DfqdnQ/audioengine-a5-bamboo-150-w-speakers-a5plus-bamboo,469,2,150,"50,22",Brown / Black
Kanto YU2GW,https://pcpartpicker.com/product/x2ndnQ/kanto-yu2gw-50w-2ch-speakers-yu2gw,189.99,2,50,"80,20",White / Black
Audioengine HD3-CHR,https://pcpartpicker.com/product/pcBhP6/audioengine-hd3-chr-60-w-20-channel-speakers-hd3-chr,,2,60,"65,22",Red / Black
Creative Labs Sound Blaster Katana V2,https://pcpartpicker.com/product/tyNxFT/creative-labs-sound-blaster-katana-v2-126-w-21-channel-speakers-mf8380,,2.1,126,"50,20",
Creative Labs Inspire T10,https://pcpartpicker.com/product/FbmLrH/creative-labs-speakers-51mf1601aa000,,2,10,"80,20",
KEF LSXBL,https://pcpartpicker.com/product/FJrYcf/kef-lsxbl-200-w-20-channel-speakers-lsxbl,,2,200,"49,47",Black
Onkyo GX-30ARC,https://pcpartpicker.com/product/bDZWGX/onkyo-gx-30arc-50-w-speakers-gx30arcwcuu,434,2,50,"20,20",White
IK Multimedia IP-ILOUD-MM-IN,https://pcpartpicker.com/product/L3L48d/ik-multimedia-ip-iloud-mm-in-70-w-2ch-speakers-ip-iloud-mm-in,368.99,2,70,"45,22",Black
SteelSeries Arena 7 UK,https://pcpartpicker.com/product/97pQzy/steelseries-arena-7-uk-21-channel-speakers-61542,,2.1,,"35,20",Black
Kanto ORA,https://pcpartpicker.com/product/msYfrH/kanto-ora-100-w-speakers-oramb,384.99,2,100,"70,22",Black
Creative Labs GigaWorks T40 Series II,https://pcpartpicker.com/product/9tvRsY/creative-labs-speakers-51mf1615aa002,143.99,2,32,"50,20",
Edifier S760D,https://pcpartpicker.com/product/fFFKHx/edifier-s760d-540-w-51-channel-speakers-s760d,,5.1,540,"42,20",Black / Silver
Yamaha HS7,https://pcpartpicker.com/product/HK4NnQ/yamaha-speakers-hs7,378.99,2,95,"43,30",
Pioneer DM-50D-BT,https://pcpartpicker.com/product/krYRsY/pioneer-dm-50d-bt-50-w-speakers-dm-50d-bt-w,,2,50,"60,20",White
Trust Asto Soundbar,https://pcpartpicker.com/product/44Wrxr/trust-asto-soundbar-24w-2ch-speakers-21046,,2,24,"20,20",
Mackie CR5-XBT,https://pcpartpicker.com/product/hxmmP6/mackie-cr5-xbt-80-w-20-channel-speakers-cr5-xbt,,2,80,"50,20",Green / Black
Kanto ORA,https://pcpartpicker.com/product/x3CCmG/kanto-ora-100-w-speakers-oramp,302.99,2,100,"70,22",Pink / Black
Logitech Z120,https://pcpartpicker.com/product/Q3p323/logitech-z120-0w-2ch-speakers-980-000513,,2,,,
Audioengine HD3-WHT,https://pcpartpicker.com/product/ggZzK8/audioengine-hd3-wht-60-w-20-channel-speakers-hd3-wht,359,2,60,"65,22",White / Black
Creative Labs Stage 360,https://pcpartpicker.com/product/sL9wrH/creative-labs-stage-360-180-w-21-channel-speakers-51mf8385aa001,179.99,2.1,180,"50,20",Black
Kanto REN,https://pcpartpicker.com/product/Cdtkcf/kanto-ren-200-w-speakers-renmg,826.99,2,200,"50,22",Gray
Micca COVO-S,https://pcpartpicker.com/product/LC648d/micca-covo-s-100w-2ch-speakers-covo-s,70.99,2,100,"90,20",
Micca MB42X,https://pcpartpicker.com/product/fjp323/micca-speakers-mb42x,99.99,2,150,"60,20",
PreSonus 3.5BT 2nd Gen,https://pcpartpicker.com/product/gLhv6h/presonus-35bt-2nd-gen-50-w-speakers-eris-35bt,,2,50,"80,20",Black
Edifier S550,https://pcpartpicker.com/product/fYn2FT/edifier-speakers-s550,,5.1,280,"20,20",
Logitech THX Z-5300e,https://pcpartpicker.com/product/YDcMnQ/logitech-speakers-9701021403,,5.1,280,"35,20",
NZXT Relay,https://pcpartpicker.com/product/qhjRsY/nzxt-relay-80-w-speakers-ap-spkw2-us,,2,80,"70,20",White / Black
Creative Labs SBS E2900,https://pcpartpicker.com/product/GBLFf7/creative-labs-sbs-e2900-60-w-21-channel-speakers-51mf0490aa002,119.98,2.1,60,"50,20",Black
Mackie CR4-XBT,https://pcpartpicker.com/product/YT8bt6/mackie-cr4-xbt-50-w-20-channel-speakers-cr4-xbt,,2,50,"60,20",Black / Green
Syba CL-SPK20069,https://pcpartpicker.com/product/rmXfrH/syba-speakers-clspk20069,,2,3.4,"280,16",
PreSonus Eris E4.5,https://pcpartpicker.com/product/pt8H99/presonus-speakers-erise45,,2,50,"70,20",
Bose Companion 5,https://pcpartpicker.com/product/vd3RsY/bose-companion-5-0w-21ch-speakers-40326,,2.1,,,Black / Gray
Cyber Acoustics CA-3810,https://pcpartpicker.com/product/KGV2FT/cyber-acoustics-ca-3810-40-w-21-channel-speakers-ca-3810,96.98,2.1,40,"45,20",Black
Logitech X-540,https://pcpartpicker.com/product/nLPzK8/logitech-speakers-9702230403,,5.1,70,"40,20",
Kanto YU2MG,https://pcpartpicker.com/product/rmvbt6/kanto-yu2mg-50w-2ch-speakers-yu2mg,245.54,2,50,"80,20",Silver / Black
Audioengine HD3-WAL,https://pcpartpicker.com/product/tG2bt6/audioengine-hd3-wal-60-w-20-channel-speakers-hd3-wal,,2,60,"65,22",Brown / Black
Micca MB42,https://pcpartpicker.com/product/nrVBD3/micca-speakers-mb42,79.98,2,150,"60,20",
Trust GXT 612 CETIC,https://pcpartpicker.com/product/FPkH99/trust-gxt-612-cetic-10-w-speakers-24970,,2,10,"20,20",Black
Creative Labs GigaWorks T20 Series II,https://pcpartpicker.com/product/7p7wrH/creative-labs-speakers-51mf1610aa002,,2,28,"50,20",
Audioengine A2 (Black),https://pcpartpicker.com/product/hdBv6h/audioengine-speakers-a2b,,2,60,"65,22",
Edifier R2750DB,https://pcpartpicker.com/product/QBLp99/edifier-r2750db-136-w-speakers-r2750db,,2,136,"45,20",Black
Edifier G2000,https://pcpartpicker.com/product/zgNscf/edifier-g2000-32-w-speakers-g2000-red,94.99,2,32,"98,20",Red
Insignia NS-PCS21,https://pcpartpicker.com/product/CTdG3C/insignia-ns-pcs21-8-w-21-channel-speakers-ns-pcs21,72.98,2.1,8,"90,18",Black
Gigabyte GP-S2000,https://pcpartpicker.com/product/nGphP6/gigabyte-speakers-gps2000,,2,4,"100,20",
Logitech Z-5500,https://pcpartpicker.com/product/JPs8TW/logitech-speakers-z5500,,5.1,505,"33,20",
Mackie CR3,https://pcpartpicker.com/product/mjp323/mackie-cr3-50-w-speakers-cr3,,2,50,"80,20",
Logitech X-230,https://pcpartpicker.com/product/6hkwrH/logitech-speakers-x230,,2.1,32,"40,20",
Creative Labs Sound BlasterX Katana,https://pcpartpicker.com/product/PKmxFT/creative-labs-sound-blasterx-katana-0w-21ch-speakers-51mf8245aa000,,2.1,,,
Logitech S-220,https://pcpartpicker.com/product/827CmG/logitech-s-220-17-w-21-channel-speakers-s-220,,2.1,17,"85,15",Black
Logitech Z337 w/BlueTooth,https://pcpartpicker.com/product/Cqx9TW/logitech-z337-wbluetooth-40w-21ch-speakers-980-001260,,2.1,40,,
