name,part_url,price,interface,color
Syba SD-PEX24009,https://pcpartpicker.com/product/ZZV48d/syba-wired-network-card-sdpex24009,,PCIe x1,
Netgear GA311,https://pcpartpicker.com/product/DwLypg/netgear-wired-network-card-ga311,,PCI,
StarTech USB31000SPTW,https://pcpartpicker.com/product/8nYXsY/startech-wired-network-card-usb31000sptw,43.99,USB Type-A 3.2 Gen 1,
StarTech ST10000SPEX,https://pcpartpicker.com/product/PHV48d/startech-wired-network-card-st10000spex,,PCIe x4,
SIIG CN-GP4111-S1,https://pcpartpicker.com/product/hmGj4D/siig-cn-gp4111-s1-network-adapter-cn-gp4111-s1,,PCIe x4,
D-Link DUB-1312,https://pcpartpicker.com/product/Zb3H99/d-link-dub-1312-usb-30-1000-mbits-network-adapter-dub-1312,,USB Type-A 3.2 Gen 1,Black
SIIG JU-NE0711-S1,https://pcpartpicker.com/product/yMsmP6/siig-ju-ne0711-s1-usb-30-1000-mbits-network-adapter-ju-ne0711-s1,45.4,USB Type-A 3.2 Gen 1,Black
Tripp Lite U436-000-GB,https://pcpartpicker.com/product/4dDkcf/tripp-lite-u436-000-gb-usb-type-c-1000-mbits-network-adapter-u436-000-gb,20.87,USB Type-C 3.2 Gen 1,Black
V7 V7UCRJ45-BLK-1N,https://pcpartpicker.com/product/JYsmP6/v7-v7ucrj45-blk-1n-usb-type-c-1000-mbits-network-adapter-v7ucrj45-blk-1n,,USB Type-C 3.2 Gen 1,Black
SIIG JU-NE0621-S2,https://pcpartpicker.com/product/C8DJ7P/siig-ju-ne0621-s2-usb-30-1000-mbits-network-adapter-ju-ne0621-s2,,USB Type-A 3.2 Gen 1,White
HP E0X95AA,https://pcpartpicker.com/product/Fk4gXL/hp-e0x95aa-gigabit-ethernet-pcie-x1-network-adapter-e0x95aa,,PCIe x1,Green
StarTech USB31000S2,https://pcpartpicker.com/product/HTLFf7/startech-usb31000s2-gigabit-ethernet-usb-type-a-network-adapter-usb31000s2,23.39,USB Type-A 3.2 Gen 1,Black / Silver
SIIG CN-GP1021-S3,https://pcpartpicker.com/product/bL8Zxr/siig-wired-network-card-cngp1021s3,40.99,PCIe x1,
Tripp Lite U436-06N-2P5,https://pcpartpicker.com/product/XCFmP6/tripp-lite-u436-06n-2p5-25-gbs-ethernet-usb-type-c-network-adapter-u436-06n-2p5,45.99,USB Type-C 3.2 Gen 1,Black
Rosewill RNF-405U,https://pcpartpicker.com/product/MVxfrH/rosewill-wired-network-card-rnf405u,,USB Type-A 2.0,
Rosewill RNG-406U,https://pcpartpicker.com/product/GPw323/rosewill-wired-network-card-rng406u,,USB Type-A 3.2 Gen 1,
Syba SY-ADA24024,https://pcpartpicker.com/product/b8phP6/syba-wired-network-card-syada24024,,USB Type-A 2.0,
TRENDnet TE100-PCIWN,https://pcpartpicker.com/product/qmXfrH/trendnet-wired-network-card-te100pciwn,,PCI,
Intel EXPI9402PTBLK-1PK,https://pcpartpicker.com/product/mr4gXL/intel-wired-network-card-expi9402ptblk1pk,,PCIe x4,
Intel PWLA8391GTBLK-1PK,https://pcpartpicker.com/product/VWg323/intel-wired-network-card-pwla8391gtblk1pk,,PCI,
Intel PWLA8492MTBLK5,https://pcpartpicker.com/product/Y94gXL/intel-wired-network-card-pwla8492mtblk5,,PCI-X,
Rosewill RC-400-LX,https://pcpartpicker.com/product/fy6BD3/rosewill-wired-network-card-rc400lx,,PCI,
SIIG CN-GP1011-S3,https://pcpartpicker.com/product/894gXL/siig-wired-network-card-cngp1011s3,,PCI,
StarTech ST1000SPEXD2,https://pcpartpicker.com/product/dmXfrH/startech-wired-network-card-st1000spexd2,,PCIe x1,
Syba SY-ADA24005,https://pcpartpicker.com/product/CdyFf7/syba-sy-ada24005-usb-20-100-mbits-network-adapter-sy-ada24005,,USB Type-A 2.0,
SIIG CN-GP2011-S1,https://pcpartpicker.com/product/PFR48d/siig-wired-network-card-cngp2011s1,,PCIe x1,
Belkin F4U047-RS,https://pcpartpicker.com/product/H2vRsY/belkin-f4u047-rs-usb-20-100-mbits-network-adapter-f4u047-rs,,USB Type-A 2.0,
Rosewill RC-402,https://pcpartpicker.com/product/jHPfrH/rosewill-wired-network-card-rc402,,PCI,
Edimax EU-4306,https://pcpartpicker.com/product/3x4gXL/edimax-wired-network-card-eu4306,,USB Type-A 3.2 Gen 1,
Rosewill RC-411,https://pcpartpicker.com/product/stMFf7/rosewill-wired-network-card-rc411,,PCIe x1,
SIIG CN-GP4011-S1,https://pcpartpicker.com/product/mKfp99/siig-wired-network-card-cngp4011s1,,PCIe x4,
StarTech USB31000SW,https://pcpartpicker.com/product/TL8Zxr/startech-wired-network-card-usb31000sw,26.77,USB Type-A 3.2 Gen 1,
Syba SD-ADA24032,https://pcpartpicker.com/product/YvBv6h/syba-wired-network-card-sdada24032,,USB Type-A 3.2 Gen 1,
SIIG JU-NE0511-S1,https://pcpartpicker.com/product/xLzv6h/siig-wired-network-card-june0511s1,,USB Type-A 3.2 Gen 1,
StarTech USB31000SPTB,https://pcpartpicker.com/product/xXjG3C/startech-wired-network-card-usb31000sptb,32.79,USB Type-A 3.2 Gen 1,
TP-Link TF-3239DL,https://pcpartpicker.com/product/xQtCmG/tp-link-wired-network-card-tf3239dl,,PCI,
Syba SI-ADA24037,https://pcpartpicker.com/product/9MqdnQ/syba-wired-network-card-siada24037,,USB Type-A 3.2 Gen 1,
SIIG CN-GP1111-S1,https://pcpartpicker.com/product/rJsKHx/siig-wired-network-card-cngp1111s1,,PCIe x4,
Syba SY-ADA24040,https://pcpartpicker.com/product/mXL7YJ/syba-sy-ada24040-network-adapter-sy-ada24040,,USB Type-A 3.2 Gen 1,
Syba SY-PEX24056,https://pcpartpicker.com/product/jyYLrH/syba-sy-pex24056-pcie-x4-10-gbits-network-adapter-sy-pex24056,,PCIe x4,Green / Black
Supermicro SGP-i4,https://pcpartpicker.com/product/QmVD4D/supermicro-sgp-i4-pcie-x4-1000-mbits-network-adapter-sgp-i4,,PCIe x4,Green / Silver
Belkin B2B145-BLK,https://pcpartpicker.com/product/Pkvbt6/belkin-b2b145-blk-usb-type-c-1000-mbits-network-adapter-b2b145-blk,30.74,USB Type-C 3.2 Gen 1,Black
Rosewill RNG-408U,https://pcpartpicker.com/product/3jcRsY/rosewill-rng-408u-usb-type-c-1000-mbits-network-adapter-rng-408u,,USB Type-C 3.2 Gen 1,Black
Syba SD-PEX24065,https://pcpartpicker.com/product/w8t9TW/syba-sd-pex24065-25-gbs-ethernet-pcie-x1-network-adapter-sd-pex24065,,PCIe x1,Green
