name,part_url,price,resolutions,connection,focus_type,os,fov
Microsoft LifeCam Studio for Business,https://pcpartpicker.com/product/Dydrxr/microsoft-lifecam-studio-for-business-webcam-5wh-00002,107.9,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Anker PowerConf C302,https://pcpartpicker.com/product/dPPQzy/anker-powerconf-c302-webcam-a3362,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Avermedia PW315,https://pcpartpicker.com/product/BmxRsY/avermedia-pw315-webcam-pw315,113.99,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",95.8
Avermedia PW310P,https://pcpartpicker.com/product/ZL7G3C/avermedia-pw310p-webcam-pw310p,78.99,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",73
Logitech C525,https://pcpartpicker.com/product/knBhP6/logitech-c525-webcam-960-000715,81.98,"720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",69
Green Extreme T1000,https://pcpartpicker.com/product/6gjNnQ/green-extreme-t1000-webcam-gx-t1000,129,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",120
OBSBOT MEET 2,https://pcpartpicker.com/product/jWn9TW/obsbot-meet-2-webcam-meet-2-aurora-green,117,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Microsoft LifeCam CinemaaFor Business,https://pcpartpicker.com/product/wnBhP6/microsoft-lifecam-cinemaafor-business-webcam-6ch-00001,92.79,"720p",USB 2.0 Type-A,Auto,"Windows,OS X",
Green Extreme T200 + Live Streaming Bundle,https://pcpartpicker.com/product/j9drxr/green-extreme-t200-live-streaming-bundle-webcam-gx-t200-k1,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Asus ROG EYE,https://pcpartpicker.com/product/KLgQzy/asus-rog-eye-webcam-rog-eye,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",
Creative Labs BlasterX Senz3D,https://pcpartpicker.com/product/mpkgXL/creative-labs-blasterx-senz3d-webcam-vf081000000,,"1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",77
Green Extreme T300,https://pcpartpicker.com/product/bzLwrH/green-extreme-t300-webcam-gx-t300,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",94
VDO360 2SEE,https://pcpartpicker.com/product/TxqBD3/vdo360-2see-webcam-vdos4m,91.98,"1080p,720p",USB 2.0 Type-A,,"Windows,OS X,Linux,Android",75
Avermedia 4K UHD Webcam 510,https://pcpartpicker.com/product/wJQfrH/avermedia-4k-uhd-webcam-510-webcam-pw510,,"4k,1080p,720p,480p",USB 3.2 Gen 1 Type-C,,"Windows",85
Wansview 101JD,https://pcpartpicker.com/product/67jNnQ/wansview-101jd-webcam-101jd,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
Anker PowerConf C300,https://pcpartpicker.com/product/yrZ9TW/anker-powerconf-c300-webcam-a3361,,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Microsoft Lifecam Cinema,https://pcpartpicker.com/product/N77p99/microsoft-lifecam-cinema-webcam-h5d-00013,120.99,"720p",USB 2.0 Type-A,Auto,"Windows",73
Adesso Cybertrack H4P,https://pcpartpicker.com/product/HjDkcf/adesso-cybertrack-h4p-webcam-cybertrack-h4p,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Avermedia HD Webcam 310,https://pcpartpicker.com/product/MQsnTW/avermedia-hd-webcam-310-webcam-pw310o,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Wansview 105JD,https://pcpartpicker.com/product/8WqPxr/wansview-105jd-webcam-105jd,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",90
OBSBOT Tiny,https://pcpartpicker.com/product/JpNYcf/obsbot-tiny-webcam-owb-2004-ce,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",86
Microsoft LifeCam HD-3000 L2,https://pcpartpicker.com/product/LxqBD3/microsoft-lifecam-hd-3000-l2-webcam-t3h-00011,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Creative Labs Live! Cam Sync HD,https://pcpartpicker.com/product/8qMTwP/creative-labs-live-cam-sync-hd-webcam-73vf077000000,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Wansview 102JD,https://pcpartpicker.com/product/j3Dkcf/wansview-102jd-webcam-102jd,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
Wansview 106JD,https://pcpartpicker.com/product/xDgFf7/wansview-106jd-webcam-106jd,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",60
