name,part_url,size,color,rpm,airflow,pwm,manufacturer,part_number,connectors
Antec Prizm 3+2+C 3-Pack,https://pcpartpicker.com/product/z47v6h/antec-prizm-120-argb-32c-4503-cfm-120-mm-fans-3-pack-prizm-120-argb-32c,120,Black,2000,45.03,True,Antec,Prizm 120 ARGB 3+2+C|0-761345-77511-3,4-pin PWM|3-pin 5V Addressable RGB
Antec Prizm 2+C 2-Pack,https://pcpartpicker.com/product/TKjJ7P/antec-prizm-140-argb-2c-6503-cfm-140-mm-fans-2-pack-prizm-140-argb-2c,140,Black,1700,65.03,True,Antec,Prizm 140 ARGB 2+C,4-pin PWM|3-pin 5V Addressable RGB
Corsair AF140L,https://pcpartpicker.com/product/CgXYcf/corsair-co-8950007-6743-cfm-140-mm-fan-co-8950007,140,Black / Gray,1000,67.43,False,Corsair,CO-8950007,3-pin
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/JXvqqs/be-quiet-65-cfm-120-mm-fan-bl088,120,White / Black,1100,"38.5,65",False,be quiet!,BL088,3-pin
Fractal Design Prisma SL,https://pcpartpicker.com/product/hWtKHx/fractal-design-prisma-sl-12-5063-cfm-120-mm-fan-fd-fan-pri-sl12-gn,120,Black / White,1200,50.63,False,Fractal Design,FD-FAN-PRI-SL12-GN,3-pin
Antec TRICOOL,https://pcpartpicker.com/product/kfm323/antec-tricool-r-led-120-79-cfm-120-mm-fan-tricool-r-led-120,120,Transparent,"1200,2000","39,79",False,Antec,TRICOOL R-LED 120,3-pin
Apevia Spectra 6-Pack,https://pcpartpicker.com/product/4p3mP6/apevia-sp612l2s-rgb-5767-cfm-120-mm-fans-6-pack-sp612l2s-rgb,120,Black,1350,57.67,True,Apevia,SP612L2S-RGB,Proprietary PWM
SilentiumPC Zephyr 140,https://pcpartpicker.com/product/VfCFf7/silentiumpc-zephyr-140-47-cfm-140-mm-fan-spc018,140,Black,600,47,False,SilentiumPC,SPC018,3-pin
Cooler Master SickleFlow,https://pcpartpicker.com/product/yXpmP6/cooler-master-sickleflow-120-rgb-62-cfm-120-mm-fan-mfx-b2dn-18npc-r1,120,Black,"650,1800",62,True,Cooler Master,MFX-B2DN-18NPC-R1,4-pin PWM|4-pin 12V RGB
Antec SPARK,https://pcpartpicker.com/product/9cK2FT/antec-spark-120-4503-cfm-120-mm-fan-spark-120-rgb,120,Black,2000,45.03,True,Antec,SPARK 120 RGB|0-761345-75285-5,4-pin PWM|4-pin 12V RGB
In Win Saturn ASN120 3-Pack,https://pcpartpicker.com/product/Q2JmP6/in-win-saturn-asn120-7717-cfm-120-mm-fans-3-pack-asn120-3pk,120,White / Black,"500,1800",,True,In Win,ASN120-3PK,4-pin PWM|3-pin 5V Addressable RGB
EK EK-Vardar EVO 140ER,https://pcpartpicker.com/product/6QXYcf/ek-ek-vardar-evo-140er-84-cfm-140-mm-fan-3830046995469,140,Black / White,"400,1600",,True,EK,3830046995469,4-pin PWM|3-pin 5V Addressable RGB
Enermax SquA RGB,https://pcpartpicker.com/product/GVsnTW/enermax-squa-rgb-6827-cfm-120-mm-fan-ucsqargb12p-w-sg,120,White,"300,1500","24.53,68.27",True,Enermax,UCSQARGB12P-W-SG,4-pin PWM|3-pin 5V Addressable RGB
Corsair iCUE SP140 RGB ELITE,https://pcpartpicker.com/product/D9Gbt6/corsair-icue-sp140-rgb-elite-681-cfm-140-mm-fan-co-9050110-ww,140,Black / White,"450,1200",,True,Corsair,CO-9050110-WW,4-pin PWM|Proprietary RGB
Iceberg Thermal IceGALE ARGB,https://pcpartpicker.com/product/n9Fbt6/iceberg-thermal-icegale-argb-94-cfm-120-mm-fan-icegale12a-e0a,120,Black / Teal,"500,2200",94,True,Iceberg Thermal,ICEGALE12A-E0A,Proprietary PWM|3-pin 5V Addressable RGB
