name,part_url,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,manufacturer,part_number,socket,max_memory,ecc_support
Intel Core i5-9400,https://pcpartpicker.com/product/VwrYcf/intel-core-i5-9400-29-ghz-6-core-oemtray-processor-cm8068403875505,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,Intel,CM8068403875505,LGA1151,128.0,False
Intel Celeron E1200,https://pcpartpicker.com/product/9MH323/intel-cpu-bx80557e1200,2,1.6,,Core,65,,Intel,BX80557E1200,LGA775,,False
Intel Core 2 Duo E7200,https://pcpartpicker.com/product/LGFPxr/intel-cpu-bx80571e7200,2,2.53,,Wolfdale,65,,Intel,BX80571E7200,LGA775,,False
Intel Xeon E3-1230 V2,https://pcpartpicker.com/product/DKFPxr/intel-cpu-cm8063701098101,4,3.3,,Ivy Bridge,69,,Intel,CM8063701098101,LGA1155,,True
Intel Xeon E3-1275 V2,https://pcpartpicker.com/product/br9KHx/intel-cpu-cm8063701098702,4,3.5,,Ivy Bridge,77,Intel HD Graphics P4000,Intel,CM8063701098702,LGA1155,,True
AMD Athlon II X2 250,https://pcpartpicker.com/product/dhXfrH/amd-cpu-adx250ocgqbox,2,3.0,,K10,65,,AMD,ADX250OCGQBOX,AM3,,False
Intel Celeron E3200,https://pcpartpicker.com/product/NMH323/intel-cpu-at80571rg0561ml,2,2.4,,Wolfdale,65,,Intel,AT80571RG0561ML,LGA775,,False
Intel Core 2 Duo E6400,https://pcpartpicker.com/product/VV8Zxr/intel-cpu-bx80557e6400,2,2.13,,Core,65,,Intel,BX80557E6400,LGA775,,False
Intel Core 2 Duo E6550,https://pcpartpicker.com/product/69H323/intel-cpu-hh80557pj0534mg,2,2.33,,Core,65,,Intel,HH80557PJ0534MG,LGA775,,False
Intel Core 2 Duo E7300,https://pcpartpicker.com/product/Ms7wrH/intel-cpu-bx80571e7300,2,2.66,,Wolfdale,65,,Intel,BX80571E7300,LGA775,,False
Intel Core i5-680,https://pcpartpicker.com/product/M9H323/intel-cpu-bx80616i5680,2,3.6,,Westmere,73,Intel HD Graphics,Intel,BX80616I5680,LGA1156,,False
Intel Core 2 Quad Q9650,https://pcpartpicker.com/product/tvGkcf/intel-cpu-at80569pj080n,4,3.0,,Yorkfield,95,,Intel,AT80569PJ080N,LGA775,,False
