name,part_url,type,interface,capacity,color,manufacturer,part_number,rpm,form_factor
Samsung T7 Portable,https://pcpartpicker.com/product/VYGnTW/samsung-t7-portable-1-tb-external-ssd-mu-pc1t0tam,SSD,USB Type-C 3.2 Gen 1,1000,Black / Silver,Samsung,MU-PC1T0T/AM,,External
Seagate Expansion,https://pcpartpicker.com/product/kcWJ7P/seagate-expansion-24-tb-external-hard-drive-stkp24000400,HDD,USB Type-A 3.2 Gen 1,24000,Black,Seagate,STKP24000400,5400.0,External
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/RszXsY/seagate-expansion-1yr-8-tb-external-hard-drive-stkp8000400,HDD,USB Type-A 3.2 Gen 1,8000,Black,Seagate,STKP8000400,5400.0,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/YpJtt6/western-digital-elements-8tb-external-hard-drive-wdbwlg0080hbk-nesn,HDD,USB Type-A 3.2 Gen 1,8000,Black,Western Digital,WDBWLG0080HBK-NESN,,External
Samsung T7 Shield,https://pcpartpicker.com/product/zjhv6h/samsung-t7-shield-4-tb-external-ssd-mu-pe4t0sam,SSD,USB Type-C 3.2 Gen 2,4000,Black,Samsung,MU-PE4T0S/AM|MU-PE4T0S,,External
Crucial X10 Pro,https://pcpartpicker.com/product/JnyH99/crucial-x10-pro-2-tb-external-ssd-ct2000x10prossd902,SSD,USB Type-C 3.2 Gen 2x2,2000,Black,Crucial,CT2000X10PROSSD902,,External
Western Digital My Passport,https://pcpartpicker.com/product/BJsnTW/western-digital-5-tb-external-hard-drive-wdbpkj0050bbk-wesn,HDD,USB Type-A 3.2 Gen 1,5000,Black,Western Digital,WDBPKJ0050BBK-WESN,5400.0,External
Western Digital My Passport,https://pcpartpicker.com/product/Vywkcf/western-digital-1-tb-external-hard-drive-wdbyvg0010bbk-wesn,HDD,USB Type-A 3.2 Gen 1,1000,Black,Western Digital,WDBYVG0010BBK-WESN,5400.0,External
Western Digital WD_BLACK D10,https://pcpartpicker.com/product/zRstt6/western-digital-wd_black-d10-8-tb-external-hard-drive-wdba3p0080hbk-nesn,HDD,USB Type-A 3.2 Gen 2,8000,Black,Western Digital,WDBA3P0080HBK-NESN,7200.0,External
Crucial X10,https://pcpartpicker.com/product/LLdMnQ/crucial-x10-8-tb-external-ssd-ct8-000x10ssd9,SSD,USB Type-C 3.2 Gen 2x2,8000,Blue,Crucial,CT8 000X10SSD9,,External
Apricorn Aegis Padlock DT,https://pcpartpicker.com/product/J2GhP6/apricorn-aegis-padlock-dt-12-tb-external-hard-drive-adt-3pl256-12tb,HDD,USB Type-A 3.2 Gen 1,12000,Black,Apricorn,ADT-3PL256-12TB,5400.0,External
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/vgxRsY/apricorn-padlock-dt-fips-18-tb-external-hard-drive-adt3pl256f18tb,HDD,USB Type-A 3.2 Gen 1,18000,Black,Apricorn,ADT3PL256F18TB,5400.0,External
Apricorn Aegis Padlock,https://pcpartpicker.com/product/3LkwrH/apricom-external-hard-drive-a253pl256s128,SSD,USB Type-A 3.2 Gen 1,128,,Apricorn,A25-3PL256-S128,,External
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/dky8TW/seagate-expansion-amer-22-tb-external-hard-drive-stkp22000400,HDD,USB Type-A 3.2 Gen 1,22000,,Seagate,STKP22000400,5400.0,External
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/Pf2WGX/sandisk-extreme-portable-v2-2-tb-external-ssd-sdssde61-2t00-g25,SSD,USB Type-C 3.2 Gen 1,2000,Black / Orange,SanDisk,SDSSDE61-2T00-G25,,External
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/G39nTW/corsair-ex400u-survivor-2-tb-external-ssd-cssd-ex400us2tb,SSD,USB Type-C 4.0 Gen 3x2,2000,Black,Corsair,CSSD-EX400US2TB,,External
Seagate Portable Drive,https://pcpartpicker.com/product/Z2bypg/seagate-portable-drive-4-tb-external-hard-drive-stgx4000400,HDD,USB Type-A 3.2 Gen 1,4000,Black,Seagate,STGX4000400,5400.0,External
Corsair EX400U,https://pcpartpicker.com/product/Mhtkcf/corsair-ex400u-4-tb-external-ssd-cssd-ex400u4tb,SSD,USB Type-C 4.0 Gen 3x2,4000,Black,Corsair,CSSD-EX400U4TB,,External
Seagate Expansion,https://pcpartpicker.com/product/4zQRsY/seagate-expansion-8tb-external-hard-drive-steb8000100,HDD,USB Type-A 3.2 Gen 1,8000,,Seagate,STEB8000100,5400.0,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/Vy9tt6/western-digital-elements-14-tb-external-hard-drive-wdbwlg0140hbk-nesn,HDD,USB Type-A 3.2 Gen 2,14000,Black,Western Digital,WDBWLG0140HBK-NESN,,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/hy9nTW/western-digital-elements-16-tb-external-hard-drive-wdbwlg0160hbk-nesn,HDD,USB Type-A 3.2 Gen 1,16000,Black,Western Digital,WDBWLG0160HBK-NESN|WDBBKG0160HBK-AESN,,External
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/JwC48d/sandisk-extreme-portable-v2-4-tb-external-ssd-sdssde61-4t00-g25,SSD,USB Type-C 3.2 Gen 1,4000,Black / Orange,SanDisk,SDSSDE61-4T00-G25,,External
Samsung T7 Portable,https://pcpartpicker.com/product/m8BhP6/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0tam,SSD,USB Type-C 3.2 Gen 1,2000,Black / Silver,Samsung,MU-PC2T0T/AM,,External
Seagate Portable Drive,https://pcpartpicker.com/product/YWBFf7/seagate-portable-drive-5-tb-external-hard-drive-stgx5000400,HDD,USB Type-A 3.2 Gen 1,5000,Black,Seagate,STGX5000400,5400.0,External
Western Digital My Book,https://pcpartpicker.com/product/GJyV3C/western-digital-my-book-8tb-external-hard-drive-wdbbgb0080hbk-nesn,HDD,USB Type-A 3.2 Gen 1,8000,Black,Western Digital,WDBBGB0080HBK-NESN,5400.0,External
Apricorn NVX,https://pcpartpicker.com/product/7gyH99/apricorn-nvx-2-tb-external-ssd-anvx-2tb,SSD,USB Type-C 3.2 Gen 2,2000,Black,Apricorn,ANVX-2TB,,External
Western Digital My Passport,https://pcpartpicker.com/product/ksyqqs/western-digital-2-tb-external-hard-drive-wdbyvg0020bbk-wesn,HDD,USB Type-A 3.2 Gen 1,2000,Black,Western Digital,WDBYVG0020BBK-WESN,5400.0,External
Seagate Backup Plus Portable,https://pcpartpicker.com/product/fQF48d/seagate-backup-plus-portable-4-tb-external-hard-drive-sthp4000400,HDD,USB Type-A 3.2 Gen 1,4000,Black,Seagate,STHP4000400,,External
Samsung T5,https://pcpartpicker.com/product/KbgzK8/samsung-t5-1-tb-external-ssd-mu-pa1t0bam,SSD,USB Type-C 3.2 Gen 1,1000,,Samsung,MU-PA1T0B/AM,,External
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/dqwypg/sandisk-extreme-portable-v2-1-tb-external-ssd-sdssde61-1t00-g25,SSD,USB Type-C 3.2 Gen 1,1000,Black / Orange,SanDisk,SDSSDE61-1T00-G25,,External
Samsung T9 Portable,https://pcpartpicker.com/product/trtLrH/samsung-t9-portable-2-tb-external-ssd-mu-pg2t0bam,SSD,USB Type-C 3.2 Gen 2x2,2000,Black,Samsung,MU-PG2T0B/AM|MU-PG2T0B,,External
Western Digital My Passport,https://pcpartpicker.com/product/Y7kgXL/western-digital-5-tb-external-hard-drive-wdbpkj0050bwt-wesn,HDD,USB Type-A 3.2 Gen 1,5000,White,Western Digital,WDBPKJ0050BWT-WESN,5400.0,External
Western Digital My Book,https://pcpartpicker.com/product/Nz66Mp/western-digital-my-book-4tb-external-hard-drive-wdbbgb0040hbk-nesn,HDD,USB Type-A 3.2 Gen 1,4000,Black,Western Digital,WDBBGB0040HBK-NESN,5400.0,External
Seagate One Touch,https://pcpartpicker.com/product/frddnQ/seagate-one-touch-18-tb-external-hard-drive-stlc18000400,HDD,USB Type-A 3.2 Gen 1,18000,Black,Seagate,STLC18000400,,External
Crucial X9,https://pcpartpicker.com/product/LmJp99/crucial-x9-1-tb-external-ssd-ct1000x9ssd9,SSD,USB Type-C 3.2 Gen 2,1000,Black,Crucial,CT1000X9SSD9,,External
Western Digital Elements Portable,https://pcpartpicker.com/product/fGnypg/western-digital-elements-portable-5-tb-external-hard-drive-wdbu6y0050bbk-wesn,HDD,USB Type-A 3.2 Gen 1,5000,Black,Western Digital,WDBU6Y0050BBK-WESN,,External
