name,part_url,type,color,psu,side_panel,manufacturer,part_number,int_35_bays,ext_525_bays,ext_35_bays,int_25_bays,expansion_slots_full_height,expansion_slots_half_height,expansion_slots_riser,length,width,height,max_gpu_len,max_cpu_cooler_height,mobo_form_factor,front_panel_usb,radiator_support,fan_support
Lian Li PC-Q27,https://pcpartpicker.com/product/q9V48d/lian-li-case-pcq27b,Mini ITX Tower,Black,,,Lian Li,PC-Q27B,3,1,0,2,1,0,0,199.0,299.0,240.0,195.0,,Mini ITX,USB 3.2 Gen 1 Type-A,,
Lian Li PC-Q28,https://pcpartpicker.com/product/RyGkcf/lian-li-case-pcq28a,Mini ITX Tower,Silver,,,Lian Li,PC-Q28A,4,1,0,2,2,0,0,227.0,305.0,344.0,290.0,,Mini DTX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm|140 mm,120 mm|140 mm
Lian Li PC-K7B USB3.0,https://pcpartpicker.com/product/tsw323/lian-li-case-pck7busb30,ATX Mid Tower,Black,,,Lian Li,PC-K7B USB3.0,5,3,1,0,7,0,0,488.0,210.0,459.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A,120 mm,120 mm
Lian Li PC-Q30,https://pcpartpicker.com/product/Wsw323/lian-li-case-pcq30a,Mini ITX Tower,Silver,,,Lian Li,PC-Q30A,0,0,0,4,2,0,0,220.0,355.0,299.0,200.0,,Mini DTX|Mini ITX,USB 3.2 Gen 1 Type-A,140 mm,140 mm
Lian Li PC-Q30,https://pcpartpicker.com/product/6fqdnQ/lian-li-case-pcq30x,Mini ITX Tower,Black,,,Lian Li,PC-Q30X,0,0,0,4,2,0,0,220.0,355.0,299.0,200.0,,Mini DTX|Mini ITX,USB 3.2 Gen 1 Type-A,140 mm,140 mm
Gigabyte GZ-G1SGS,https://pcpartpicker.com/product/XHCwrH/gigabyte-case-gzg1sgs,ATX Mid Tower,Black,,,Gigabyte,GZ-G1SGS,6,1,1,0,7,0,0,184.0,420.0,438.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,80 mm|120 mm
Gigabyte GZ-ZA1,https://pcpartpicker.com/product/Qbbp99/gigabyte-case-gzza1,ATX Mid Tower,Black,,,Gigabyte,GZ-ZA1,5,4,1,0,7,0,0,184.0,411.0,409.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,
Gigabyte GZ-ZA2,https://pcpartpicker.com/product/FNdqqs/gigabyte-case-gzza2,ATX Mid Tower,Black,,,Gigabyte,GZ-ZA2,5,4,1,0,7,0,0,184.0,411.0,409.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,120 mm
Apevia X-DMR4,https://pcpartpicker.com/product/mwLypg/apevia-case-xdmr4nwbk,ATX Mid Tower,Black,,Acrylic,Apevia,X-DMR4-NW-BK,4,4,0,1,7,0,0,495.0,196.0,444.0,406.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,120 mm|140 mm|200 mm
Cougar Solution C400SL,https://pcpartpicker.com/product/sHPfrH/cougar-case-solutionc400sl,ATX Mid Tower,Black,400.0,,Cougar,SolutionC400SL,6,3,1,1,7,0,0,,,,320.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,120 mm|140 mm
