name,part_url,socket,form_factor,max_memory,memory_slots,color,manufacturer,part_number,memory_type,memory_speed_max,m2_slots,sata_6_ports,sata_3_ports,pci_x16_slots,pci_x8_slots,pci_x4_slots,pci_x1_slots,pci_slots,mini_pcie_msata_slots,uses_back_connect,ecc_support,header_usb_2_0,header_usb_3_2_gen_1,header_usb_3_2_gen_2,header_usb_3_2_gen_2x2,header_usb_2_0__(single_port)
Gigabyte B450M GAMING,https://pcpartpicker.com/product/c8K2FT/gigabyte-b450m-gaming-micro-atx-am4-motherboard-b450m-gaming,AM4,Micro ATX,32,2,Red / Black,Gigabyte,B450M GAMING|GA-B450M-GAMING,DDR4,3200,2242/2260/2280 M-key,4,0,1,0,0,2,0,,False,False,2,1,0,0,0
ASRock X399D8A-2T,https://pcpartpicker.com/product/KRkgXL/asrock-x399d8a-2t-atx-str4-motherboard-x399d8a-2t,sTR4,ATX,256,8,Green / Blue,ASRock,X399D8A-2T,DDR4,2666,2230/2242/2260/2280/22110 M-key|2230/2242/2260/2280/22110 M-key,6,0,5,0,1,0,0,,False,True,1,1,0,0,0
ASRock Z690 Extreme,https://pcpartpicker.com/product/FNWzK8/asrock-z690-extreme-atx-lga1700-motherboard-z690-extreme,LGA1700,ATX,128,4,Black / Silver,ASRock,Z690 EXTREME|90-MXBHN0-A0UAYZ,DDR4,5133,2260/2280 M-key|2230/2242/2260/2280 M-key|2242/2260/2280/22110 M-key|2230 E-key,8,0,3,0,0,1,0,,False,False,2,2,0,1,0
NZXT N7-Z69XT-B1,https://pcpartpicker.com/product/sbgFf7/nzxt-n7-z69xt-b1-atx-lga1700-motherboard-n7-z69xt-b1,LGA1700,ATX,128,4,Black,NZXT,N7-Z69XT-B1,DDR4,5133,2242/2260/2280 M-key|2242/2260/2280/22110 M-key|2242/2260/2280 M-key,4,0,3,0,0,2,0,,False,False,2,1,1,0,0
MSI Z270 GAMING M3,https://pcpartpicker.com/product/CHbkcf/msi-z270-gaming-m3-atx-lga1151-motherboard-z270-gaming-m3,LGA1151,ATX,64,4,Black / Red,MSI,Z270 GAMING M3|7A62-001R,DDR4,3800,2242/2260/2280/22110 M-key|2242/2260/2280 M-key,6,0,2,0,0,4,0,,False,False,2,2,0,0,0
Gigabyte Z790 AORUS ELITE AX ICE,https://pcpartpicker.com/product/hnNYcf/gigabyte-z790-aorus-elite-ax-ice-atx-lga1700-motherboard-z790-aorus-elite-ax-ice,LGA1700,ATX,256,4,Silver / White,Gigabyte,Z790 AORUS ELITE AX ICE|Z790 A ELITE AX ICE,DDR5,7600,2280/22110 M-key|2280/22110 M-key|2280/22110 M-key|2280/22110 M-key,6,0,3,0,0,0,0,,False,False,2,1,1,0,0
ASRock AB350M Pro4,https://pcpartpicker.com/product/dWL7YJ/asrock-ab350m-pro4-micro-atx-am4-motherboard-ab350m-pro4,AM4,Micro ATX,64,4,Black / White,ASRock,AB350M Pro4|90-MXB520-A0UAYZ,DDR4,3200,2242/2260/2280 M-key|2230/2242/2260/2280 M-key,4,0,2,0,0,1,0,,False,False,2,1,0,0,0
MSI PRO H810M-B,https://pcpartpicker.com/product/m29nTW/msi-pro-h810m-b-micro-atx-lga1851-motherboard-pro-h810m-b,LGA1851,Micro ATX,128,2,Silver / Black,MSI,PRO H810M-B|7E64-001R,DDR5,6400,2260/2280 M-key,1,0,1,0,0,2,0,,False,False,2,1,1,0,0
Gigabyte B760M DS3H AX,https://pcpartpicker.com/product/jHfnTW/gigabyte-b760m-ds3h-ax-micro-atx-lga1700-motherboard-b760m-ds3h-ax,LGA1700,Micro ATX,192,4,Black,Gigabyte,B760M DS3H AX,DDR5,7600,2280 M-key|2280 M-key,4,0,1,0,0,2,0,,False,False,2,1,0,0,0
Gigabyte B365 HD3,https://pcpartpicker.com/product/BXhmP6/gigabyte-b365-hd3-atx-lga1151-motherboard-b365-hd3,LGA1151,ATX,64,4,Black / Silver,Gigabyte,B365 HD3,DDR4,2666,2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2230 E-key,6,0,2,0,0,4,0,,False,False,2,1,0,0,0
