name,part_url,price,style,switches,backlit,tenkeyless,connection_type,color
Keychron K2 Plastic,https://pcpartpicker.com/product/bQpzK8/keychron-k2-plastic-rgb-wireless-standard-keyboard-k2-b1,112.99,Standard,Gateron G Pro Red,RGB,true,Wireless,Black / Gray
Keychron Q6 Max QMK/VIA (Side-Printed),https://pcpartpicker.com/product/YwpD4D/keychron-q6-max-qmkvia-side-printed-rgb-bluetoothwirelesswired-gaming-keyboard-q6m-p3s,241.99,Gaming,Gateron Jupiter Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Red
Logitech K120-TAA Keyboard,https://pcpartpicker.com/product/Wyh9TW/logitech-keyboard-920004217,,Standard,,,false,Wired,Black
Corsair K70,https://pcpartpicker.com/product/zWGj4D/corsair-keyboard-ch9000076na,,Gaming,Cherry MX Blue,Red,false,Wired,Black
A4Tech B120,https://pcpartpicker.com/product/HTJkcf/a4tech-keyboard-b120,42.88,Gaming,,Red,false,Wired,Black
Redragon K551,https://pcpartpicker.com/product/zwcMnQ/redragon-keyboard-b016m91ss0,,Gaming,Outemu Blue,Red,false,Wired,Black / Red
Gigabyte Aorus K9,https://pcpartpicker.com/product/HFgzK8/gigabyte-aorus-k9-wired-standard-keyboard-gk-aorus-k9-red,,Standard,Flaretech Red,RGB,false,Wired,Black
Corsair K63 (MX Red w/Blue LED),https://pcpartpicker.com/product/HFZFf7/corsair-k63-wireless-gaming-keyboard-ch-9145030-na,,Gaming,Cherry MX Red,Blue,true,Wireless,
Razer BlackWidow X Chroma Mercury Edition,https://pcpartpicker.com/product/zRndnQ/razer-blackwidow-x-chroma-mercury-edition-wired-gaming-keyboard-rz03-01762000-r3m1,,Gaming,Razer Green,RGB,false,Wired,Silver / White
Redragon K550 RGB YAMA,https://pcpartpicker.com/product/gDcMnQ/redragon-k550-rgb-yama-wired-gaming-keyboard-k550,,Gaming,Outemu Purple,RGB,false,Wired,Black
Kensington Pro Fit Ergo Bundle,https://pcpartpicker.com/product/4LpmP6/kensington-pro-fit-ergo-bundle-wireless-ergonomic-keyboard-k75406us,54.95,Ergonomic,,,false,Wireless,Black
Corsair K55 RGB PRO XT,https://pcpartpicker.com/product/zHzhP6/corsair-k55-rgb-pro-xt-wired-gaming-keyboard-ch-9226715-na,,Gaming,,RGB,false,Wired,Black
Wooting Two Lekker Edition,https://pcpartpicker.com/product/PGnypg/wooting-two-lekker-edition-rgb-wired-gaming-keyboard-wk2-us2-l60-333,,Gaming,Lekker linear65,RGB,false,Wired,Blue / White
ROCCAT Magma,https://pcpartpicker.com/product/YxRYcf/roccat-magma-rgb-wired-gaming-keyboard-roc-12-582,49.95,Gaming,,RGB,false,Wired,Black
Logitech MX Mechanical,https://pcpartpicker.com/product/PK92FT/logitech-mx-mechanical-wireless-slim-keyboard-920-010548,179.99,Slim,Kailh Choc V2 Red,White,false,Wireless,
Keychron K8 Aluminum Frame,https://pcpartpicker.com/product/Hprqqs/keychron-k8-aluminum-frame-bluetoothwired-standard-keyboard-32018252988505,,Standard,Gateron G Pro Red Hot-swappable,,true,"Wired, Bluetooth Wireless",Black / Gray
Redragon K615 Elise,https://pcpartpicker.com/product/rHpQzy/redragon-k615-elise-rgb-wired-mini-keyboard-k615-r,,Mini,Outemu Blue Low Profile,RGB,true,Wired,Black
Logitech K585,https://pcpartpicker.com/product/F3FmP6/logitech-k585-bluetoothwirelesswired-slim-keyboard-920-011477,50.99,Slim,,,true,"Wired, Wireless, Bluetooth Wireless",Pink
Logitech MK295 Silent,https://pcpartpicker.com/product/Csrqqs/logitech-mk295-silent-wirelesswired-standard-keyboard-with-optical-mouse-920-009798,,Standard,,,false,"Wired, Wireless",Black
Redragon K598-KNS,https://pcpartpicker.com/product/8LmNnQ/redragon-k598-kns-rgb-wirelesswired-gaming-keyboard-k598-kns,,Gaming,Outemu Brown,RGB,true,"Wired, Wireless",Black
Keychron Q1 QMK V2,https://pcpartpicker.com/product/F6RnTW/keychron-q1-qmk-v2-wired-mini-keyboard-q1-c3,,Mini,Gateron G Pro Brown,,true,Wired,Black
MCHOSE Ace 60,https://pcpartpicker.com/product/TFPv6h/mchose-ace-60-rgb-wired-gaming-keyboard-ace60-6a,,Gaming,TTC Uranus Magnetic,RGB,true,Wired,Black
