name,part_url,price,capacity_w,capacity_va
APC SMX3000RMHV2U,https://pcpartpicker.com/product/d2RFf7/apc-ups-smx3000rmhv2u,18800.7,2700,3000
Tripp Lite ECO550UPS,https://pcpartpicker.com/product/hWX2FT/tripp-lite-ups-eco550ups,108.22,300,550
CyberPower CP1500PFCLCDTAA,https://pcpartpicker.com/product/mXH48d/cyberpower-ups-cp1500pfclcdtaa,382.95,900,1500
Belkin F6H650-SER,https://pcpartpicker.com/product/xzM323/belkin-ups-f6h650ser,68.9,360,650
APC BR900GI,https://pcpartpicker.com/product/VXH48d/apc-ups-br900gi,,540,900
APC SMT1500,https://pcpartpicker.com/product/ctJkcf/apc-ups-smt1500,720.89,980,1500
APC SMX2200RMHV2U,https://pcpartpicker.com/product/tYrcCJ/apc-ups-smx2200rmhv2u,2598.99,1980,2200
APC SMX750I,https://pcpartpicker.com/product/GZ8H99/apc-ups-smx750i,930.95,600,750
APC SRT5KRMXLW-HW,https://pcpartpicker.com/product/mccMnQ/apc-ups-srt5krmxlwhw,71999.99,4500,5000
APC SUA3000XLI,https://pcpartpicker.com/product/dRGj4D/apc-ups-sua3000xli,,2700,3000
APC SURTD5000RMXLT3U,https://pcpartpicker.com/product/Xr7CmG/apc-ups-surtd5000rmxlt3u,3170.04,3500,5000
Tripp Lite SM2200RMNAFTA,https://pcpartpicker.com/product/d3FXsY/tripp-lite-ups-sm2200rmnafta,,1600,2200
Tripp Lite SU6000RT4UHV,https://pcpartpicker.com/product/wGfmP6/tripp-lite-ups-su6000rt4uhv,86999.97,5400,6000
Tripp Lite SU1500XLCD,https://pcpartpicker.com/product/72RFf7/tripp-lite-ups-su1500xlcd,20545.68,1350,1500
Tripp Lite SMX3000XLRT2UA,https://pcpartpicker.com/product/pM8H99/tripp-lite-ups-smx3000xlrt2ua,23258.71,2700,3000
Tripp Lite SMT1500LCDT,https://pcpartpicker.com/product/vhqbt6/tripp-lite-ups-smt1500lcdt,323.99,900,1500
Tripp Lite SMART5000XFMRXL,https://pcpartpicker.com/product/KPs8TW/tripp-lite-ups-smart5000xfmrxl,34066.92,3750,5000
CyberPower CP685AVRLCD,https://pcpartpicker.com/product/jTH48d/cyberpower-ups-cp685avrlcd,127.95,390,685
CyberPower PR2200LCDRT2U,https://pcpartpicker.com/product/fQVBD3/cyberpower-ups-pr2200lcdrt2u,,1600,2170
CyberPower PR2200LCDRTXL2U,https://pcpartpicker.com/product/nxYWGX/cyberpower-ups-pr2200lcdrtxl2u,,2150,2150
CyberPower PR3000LCDRT2UTAA,https://pcpartpicker.com/product/j6X2FT/cyberpower-ups-pr3000lcdrt2utaa,,2250,3000
CyberPower LX1500GU-FC,https://pcpartpicker.com/product/xKkj4D/cyberpower-lx1500gu-fc-ups-lx1500gu-fc,,900,1500
HP AF450A,https://pcpartpicker.com/product/6CyxFT/hp-ups-af450a,,950,1400
APC BE650G1,https://pcpartpicker.com/product/tqkwrH/apc-ups-be650g1,101.99,390,650
HP AF418A,https://pcpartpicker.com/product/gvVBD3/hp-ups-af418a,,1000,1500
APC SMX1500RMI2U,https://pcpartpicker.com/product/nRGj4D/apc-ups-smx1500rmi2u,796.46,1200,1500
Tripp Lite INTERNET350U,https://pcpartpicker.com/product/XjcMnQ/tripp-lite-ups-internet350u,88.98,180,350
APC BK350,https://pcpartpicker.com/product/bD8H99/apc-ups-bk350,110.98,210,350
CyberPower CP900AVR,https://pcpartpicker.com/product/JLDzK8/cyberpower-ups-cp900avr,188.95,560,900
APC SMX1500RM2UNC,https://pcpartpicker.com/product/KtJkcf/apc-ups-smx1500rm2unc,,1200,1500
APC SURTA1500RMXL2U,https://pcpartpicker.com/product/YFdFf7/apc-ups-surta1500rmxl2u,825.06,1050,1500
Tripp Lite SMART3000NET,https://pcpartpicker.com/product/fsJkcf/tripp-lite-ups-smart3000net,27430,2400,3000
Tripp Lite SU1500RTXLCD2U,https://pcpartpicker.com/product/Rf8H99/tripp-lite-ups-su1500rtxlcd2u,2177.32,1350,1500
Tripp Lite SMX1500LCDT,https://pcpartpicker.com/product/syfmP6/tripp-lite-ups-smx1500lcdt,390.39,900,1500
CyberPower CP1000PFCLCDTAA,https://pcpartpicker.com/product/VxYWGX/cyberpower-ups-cp1000pfclcdtaa,224.95,600,1000
APC BE550-UK,https://pcpartpicker.com/product/RbjWGX/apc-ups-be550uk,155.47,330,700
APC BE600-LM,https://pcpartpicker.com/product/7qkwrH/apc-ups-be600lm,,360,600
APC BE700G-UK,https://pcpartpicker.com/product/wJVBD3/apc-ups-be700guk,,405,700
APC BE750G,https://pcpartpicker.com/product/YzM323/apc-ups-be750g,,450,750
APC BK500JS,https://pcpartpicker.com/product/vCyxFT/apc-ups-bk500js,,300,500
APC BN4001,https://pcpartpicker.com/product/CVYWGX/apc-ups-bn4001,,257,450
APC BN600G,https://pcpartpicker.com/product/HLDzK8/apc-ups-bn600g,,360,600
APC BR500CI-AS,https://pcpartpicker.com/product/LxYWGX/apc-ups-br500cias,159.99,300,500
APC BX1500G,https://pcpartpicker.com/product/dWX2FT/apc-ups-bx1500g,,865,1500
APC SMT1500R2X122,https://pcpartpicker.com/product/NHNypg/apc-ups-smt1500r2x122,23047.13,1000,1500
APC SMT1500RM2U,https://pcpartpicker.com/product/6WX2FT/apc-ups-smt1500rm2u,865,1000,1440
APC SMT1500RMI1U,https://pcpartpicker.com/product/QJVBD3/apc-ups-smt1500rmi1u,1043.04,1000,1500
APC SMT1500X448,https://pcpartpicker.com/product/YCyxFT/apc-ups-smt1500x448,,1000,1500
APC SMT2200RM2U,https://pcpartpicker.com/product/BBPzK8/apc-ups-smt2200rm2u,13858.06,1980,2200
APC SMT3000R2X145,https://pcpartpicker.com/product/hLDzK8/apc-ups-smt3000r2x145,36349.99,2700,3000
APC SMT3000RMI2U,https://pcpartpicker.com/product/r8KhP6/apc-ups-smt3000rmi2u,,2700,3000
APC SMT750RM2U,https://pcpartpicker.com/product/fTH48d/apc-ups-smt750rm2u,,500,750
APC SMX1000,https://pcpartpicker.com/product/gM8H99/apc-ups-smx1000,807.05,800,1000
APC SMX2000RMLV2UNC,https://pcpartpicker.com/product/QHNypg/apc-ups-smx2000rmlv2unc,4777.6,1800,1920
APC SMX3000HVT,https://pcpartpicker.com/product/msJkcf/apc-ups-smx3000hvt,8154.99,2700,3000
APC SMX3000LV,https://pcpartpicker.com/product/96X2FT/apc-ups-smx3000lv,7205.42,2700,3000
APC SRT5KRMXLI,https://pcpartpicker.com/product/dhqbt6/apc-ups-srt5krmxli,42660.01,4500,5000
APC SU1000XLNET,https://pcpartpicker.com/product/3M8H99/apc-ups-su1000xlnet,,670,1000
APC SU700X93,https://pcpartpicker.com/product/Nm8H99/apc-ups-su700x93,682.49,450,700
APC SUA2200XL,https://pcpartpicker.com/product/GCyxFT/apc-ups-sua2200xl,,1850,2200
APC SUA750RMJ1UB,https://pcpartpicker.com/product/tTH48d/apc-ups-sua750rmj1ub,,480,750
APC SURTD5000RMXLP3U,https://pcpartpicker.com/product/vyfmP6/apc-ups-surtd5000rmxlp3u,58923.99,4000,5000
Tripp Lite AVR550U,https://pcpartpicker.com/product/BwVBD3/tripp-lite-ups-avr550u,128.99,300,550
Tripp Lite AVR700U,https://pcpartpicker.com/product/f3FXsY/tripp-lite-ups-avr700u,116.99,350,700
Tripp Lite INTERNET550SER,https://pcpartpicker.com/product/zBPzK8/tripp-lite-ups-internet550ser,173.72,300,550
Tripp Lite INTERNETOFFICE300,https://pcpartpicker.com/product/8LDzK8/tripp-lite-ups-internetoffice300,,150,300
Tripp Lite OMNIVS1000,https://pcpartpicker.com/product/yvVBD3/tripp-lite-ups-omnivs1000,276.3,500,1000
