name,part_url,price,amount
ARCTIC MX-4,https://pcpartpicker.com/product/tp7wrH/arctic-mx-4-20-g-thermal-paste-actc-mx4-20g,,20
Thermalright TFX,https://pcpartpicker.com/product/hbpmP6/thermalright-tfx-2-g-thermal-paste-tfx-2g,,2
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/Fsdqqs/prolimatech-thermal-paste-propk35g,14.99,5
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/9LV2FT/thermal-grizzly-polartherm-x-10-10-g-thermal-paste-pt-x10-010,11.99,10
Prolimatech PK-1,https://pcpartpicker.com/product/hN8Zxr/prolimatech-thermal-paste-propk130g,51.5,30
Cooler Master MasterGel Maker,https://pcpartpicker.com/product/tQ6qqs/cooler-master-mastergel-maker-15-g-thermal-paste-mgz-ndsg-n15m-r2,,1.5
NZXT High-performance,https://pcpartpicker.com/product/zqZ9TW/nzxt-high-performance-15-g-thermal-paste-ba-tp015-01,,15
Deepcool DP-TIM-Z10-1,https://pcpartpicker.com/product/mqkH99/deepcool-dp-tim-z10-1-5-g-thermal-paste-dp-tim-z10-1,,5
Thermal Hero ULTRA,https://pcpartpicker.com/product/d62j4D/thermal-hero-ultra-50-g-thermal-paste-th-301350-us,74.49,50
EVGA Frostbite 2,https://pcpartpicker.com/product/CNTzK8/evga-frostbite-2-25-g-thermal-paste-400-tg-tm01-br,11.17,2.5
Thermal Hero QUANTUM,https://pcpartpicker.com/product/XHpD4D/thermal-hero-quantum-10-g-thermal-paste-th-501710-us,37.58,10
Cooler Master IceFusion,https://pcpartpicker.com/product/vWg323/cooler-master-thermal-paste-rgicfn200gb1,,200
ARCTIC MX-2,https://pcpartpicker.com/product/FZV48d/arctic-mx-2-65-g-thermal-paste-actc-mx2-65g,,65
Coollaboratory Liquid Pro,https://pcpartpicker.com/product/yR2kcf/coollaboratory-thermal-paste-liquidpro,,0.15
Akasa AK-TCW-03,https://pcpartpicker.com/product/nc6qqs/akasa-ak-tcw-03-5-g-thermal-paste-ak-tcw-03,19.51,5
be quiet! DC1,https://pcpartpicker.com/product/Jx92FT/be-quiet-dc1-3-g-thermal-paste-bz001,52,3
Thermal Hero ULTRA,https://pcpartpicker.com/product/ccBFf7/thermal-hero-ultra-4-g-thermal-paste-th-301304-us,12.22,4
Thermal Hero QUANTUM,https://pcpartpicker.com/product/JVfV3C/thermal-hero-quantum-2-g-thermal-paste-th-501702-us,7.82,2
Thermal Hero ULTRA,https://pcpartpicker.com/product/sJBFf7/thermal-hero-ultra-10-g-thermal-paste-th-301310-us,23.29,10
Zalman STC7,https://pcpartpicker.com/product/dDgrxr/zalman-stc7-4-g-thermal-paste-zm-stc7,,4
Thermal Hero METALLIQ,https://pcpartpicker.com/product/tJBFf7/thermal-hero-metalliq-2-g-thermal-paste-th-108002-us,26.68,2
Arctic Silver Ceramique 2 Tri-Linear,https://pcpartpicker.com/product/BZV48d/arctic-silver-thermal-paste-cmq225g,18.25,25
Prolimatech PK-1,https://pcpartpicker.com/product/7RrG3C/prolimatech-thermal-paste-propk15g,20.82,5
Prolimatech PK-2 Nano Aluminum High-Grade,https://pcpartpicker.com/product/9c9KHx/prolimatech-thermal-paste-propk215g,10.41,1.5
Gelid Solutions GC-Supreme,https://pcpartpicker.com/product/Hhh9TW/gelid-solutions-thermal-paste-tcgc04a,,7
Prolimatech PK-2 Nano Aluminum High-Grade,https://pcpartpicker.com/product/RKzv6h/prolimatech-thermal-paste-propk25g,20.51,5
ARCTIC MX-2,https://pcpartpicker.com/product/p8phP6/arctic-mx-2-30-g-thermal-paste-act-mx2-30g,,30
Coollaboratory Liquid Ultra,https://pcpartpicker.com/product/sB2kcf/coollaboratory-thermal-paste-900100264,,0.15
"Innovation Cooling Diamond ""7 Carat""",https://pcpartpicker.com/product/vGrG3C/innovation-cooling-thermal-paste-icd7c,,1.5
