name,part_url,price,type,interface,capacity,price_per_gb,color
ADATA CH11,https://pcpartpicker.com/product/q7kD4D/a-data-external-hard-drive-ach11500gu3cbk,85.59,Portable,USB Type-A 3.2 Gen 1,500,0.171,
Western Digital ELEMENTS,https://pcpartpicker.com/product/pbFPxr/western-digital-external-hard-drive-wdbuzg0010bbknesn,,Portable,USB Type-A 3.2 Gen 1,1000,,
Seagate Expansion,https://pcpartpicker.com/product/F46BD3/seagate-external-hard-drive-stbv4000100,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Crucial X9,https://pcpartpicker.com/product/MWwmP6/crucial-x9-4-tb-external-ssd-ct4000x9ssd9,432.99,Portable,USB Type-C 3.2 Gen 2,4000,0.108,Black
Seagate One Touch,https://pcpartpicker.com/product/Zx4Ycf/seagate-one-touch-10-tb-external-hard-drive-stlc10000400,368.34,Desktop,USB Type-A 3.2 Gen 1,10000,0.037,Black
Crucial X9,https://pcpartpicker.com/product/GZvD4D/crucial-x9-2-tb-external-ssd-ct2000x9ssd9,228.99,Portable,USB Type-C 3.2 Gen 2,2000,0.114,Black
Western Digital ELEMENTS,https://pcpartpicker.com/product/3bcRsY/western-digital-elements-12-tb-external-hard-drive-wdbwlg0120hbk-nesn,269.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.022,
TEAMGROUP PD1000,https://pcpartpicker.com/product/3yYRsY/teamgroup-pd1000-512-gb-external-ssd-t8fed6512g0c108,91.99,Portable,USB Type-C 3.2 Gen 2,512,0.18,Teal
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/yTMTwP/western-digital-wd_black-p10-4-tb-external-hard-drive-wdba3a0040bbk-wesn,134.94,Portable,USB Type-A 3.2 Gen 1,4000,0.034,Black
Western Digital easystore,https://pcpartpicker.com/product/zXytt6/western-digital-easystore-8-tb-external-hard-drive-wdbama0080hbk-nesn,189.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",8000,0.024,Black
