name,part_url,channels,digital_audio,sample_rate,chipset,interface,manufacturer,part_number
Creative Labs Recon3D Fatal1ty Professional,https://pcpartpicker.com/product/R69KHx/creative-labs-sound-card-70sb135600000,5.1,24.0,96.0,Sound Core3D,PCIe x1,Creative Labs,70SB135600000|SB-RECON3D-FPRO
Asus Xonar DS,https://pcpartpicker.com/product/Xp6BD3/asus-sound-card-xonards,7.1,24.0,192.0,ASUS AV200,PCI,Asus,Xonar DS
Asus Xonar Essence ST,https://pcpartpicker.com/product/hxw323/asus-sound-card-xonaressencest,7.1,24.0,192.0,ASUS AV100,PCI,Asus,Xonar Essence ST
Creative Labs Sound Blaster Z OEM,https://pcpartpicker.com/product/8PR48d/creative-labs-sound-blaster-z-oem-24-bit-192-khz-sound-card-30sb150200000,5.1,24.0,192.0,,PCIe x1,Creative Labs,30SB150200000
Syba SD-PEX63034,https://pcpartpicker.com/product/qX8Zxr/syba-sound-card-sdpex63034,7.1,24.0,48.0,,PCIe x1,Syba,SD-PEX63034
PPA International 1431v,https://pcpartpicker.com/product/FrK7YJ/ppa-international-sound-card-1431v,5.1,16.0,,,PCI,PPA International,1431v
Creative Labs Sound Blaster X-Fi Xtreme Audio,https://pcpartpicker.com/product/sBCwrH/creative-labs-sound-card-30sb079200000,7.1,24.0,96.0,,PCI,Creative Labs,30SB079200000
HT Omega CLARO II,https://pcpartpicker.com/product/J2PfrH/ht-omega-sound-card-claroii,7.1,24.0,192.0,C-Media CMI8788,PCI,HT Omega,CLARO II
Rosewill RC-701,https://pcpartpicker.com/product/HKw323/rosewill-sound-card-rc701,5.1,,,C-Media CMI8738,PCI,Rosewill,RC-701
Asus Xonar D1,https://pcpartpicker.com/product/vCTmP6/asus-sound-card-xonard1,7.1,24.0,192.0,ASUS AV100,PCI,Asus,Xonar D1|90-YAA0B0-0UAN00Z
StarTech PCISOUND5CH,https://pcpartpicker.com/product/h8Gkcf/startech-sound-card-pcisound5ch,5.1,24.0,48.0,C-Media CMI8738,PCI,StarTech,PCISOUND5CH
Creative Labs Recon3D Fatal1ty Champion,https://pcpartpicker.com/product/bDYXsY/creative-labs-sound-card-70sb135400000,5.1,24.0,96.0,Sound Core3D,PCIe x1,Creative Labs,70SB135400000|SB-RECON3D-FAC
Turtle Beach TBS-3429,https://pcpartpicker.com/product/6ZphP6/turtle-beach-sound-card-tbs3429,5.1,24.0,48.0,,PCI,Turtle Beach,TBS-3429
SIIG IC-510012-S2,https://pcpartpicker.com/product/Vyh9TW/siig-sound-card-ic510012s2,5.1,16.0,,,PCI,SIIG,IC-510012-S2
SIIG IC-710012-S2,https://pcpartpicker.com/product/XNtCmG/siig-sound-card-ic710012s2,7.1,24.0,96.0,,PCI,SIIG,IC-710012-S2
Diamond XtremeSound XS51,https://pcpartpicker.com/product/Y7V48d/diamond-sound-card-xs51,5.1,16.0,48.0,,PCI,Diamond,XS51
Encore ENM232-6VIA,https://pcpartpicker.com/product/gHckcf/encore-sound-card-enm2326via,5.1,24.0,96.0,VIA VT1723,PCI,Encore,ENM232-6VIA
HT Omega STRIKER,https://pcpartpicker.com/product/yRckcf/ht-omega-sound-card-striker,7.1,,,C-Media CMI8770,PCI,HT Omega,STRIKER
