name,part_url,type,efficiency,wattage,modular,color,manufacturer,part_number,length,atx_4_pin_connectors,eps_8_pin_connectors,pcie_16_pin_12vhpwr_12v_2x6_connectors,pcie_12_pin_connectors,pcie_8_pin_connectors,pcie_6_2_pin_connectors,pcie_6_pin_connectors,sata_connectors,amp_molex_4_pin_connectors
Asus ROG Strix,https://pcpartpicker.com/product/kHBFf7/asus-rog-strix-1000-w-80-platinum-certified-fully-modular-atx-power-supply-90ye00w1-b0na00,ATX,platinum,1000,Full,Black,Asus,90YE00W1-B0NA00|ROG-STRIX-1000P-GAMING,150.0,0,2,1,0,0,4,0,6,3
MSI MAG A1000GL PCIE5,https://pcpartpicker.com/product/gR9wrH/msi-mag-a1000gl-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mag-a1000gl-pcie5,ATX,gold,1000,Full,Black,MSI,MAG A1000GL PCIE5|306-7ZP9B11-CE0,150.0,0,2,1,0,0,4,0,12,4
Cooler Master MWE Gold 850 - V2,https://pcpartpicker.com/product/tWMTwP/cooler-master-mwe-gold-850-v2-850-w-80-gold-certified-fully-modular-atx-power-supply-mpe-8501-afaag-us,ATX,gold,850,Full,Black,Cooler Master,MPE-8501-AFAAG-US|MPE-8501-AFAAG-U2|MPE-8501-AFAAG-UK|MPE-8501-AFAAG-EU|MPE-8501-AFAAG-JP|MPE-8501-AFAAG-AU,160.0,0,2,0,0,0,4,0,12,4
Asus TUF Gaming 850G,https://pcpartpicker.com/product/MLzhP6/asus-tuf-gaming-850g-850-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s2-b0na00,ATX,gold,850,Full,Black,Asus,90YE00S2-B0NA00|TUF-GAMING-850G,150.0,0,2,1,0,0,3,0,5,4
Corsair RM1000x,https://pcpartpicker.com/product/Vq38TW/corsair-rm1000x-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020094-na,ATX,gold,1000,Full,,Corsair,CP-9020094-NA|rm1000x|CP-9020094-UK,180.0,0,2,0,0,0,8,0,11,12
CoolMax V-400,https://pcpartpicker.com/product/3XQypg/coolmax-power-supply-v400,ATX,,400,false,,CoolMax,V-400,142.0,1,0,0,0,0,0,0,2,3
SeaSonic CORE GX ATX 3 (2024),https://pcpartpicker.com/product/HGfV3C/seasonic-core-gx-atx-3-2024-750-w-80-gold-certified-fully-modular-atx-power-supply-core-atx-3-gx-750,ATX,gold,750,Full,Black,SeaSonic,CORE ATX 3 GX-750|CORE GX-750 ATX3|CORE GX 750 ATX 3.1|CORE V2 GX-750 (ATX3)|SRP-CGX751-A5A32SF|CORE GX-750-V2,140.0,0,2,1,0,0,2,0,6,3
Lian Li EDGE,https://pcpartpicker.com/product/6X4Zxr/lian-li-edge-1300-w-80-platinum-certified-fully-modular-atx-power-supply-eg1300-white,ATX,platinum,1300,Full,White,Lian Li,EG1300 White|G9P.EG1300.WE00|EG1300W|G9P.EG1300.WE00.EU|EG1300.WE|EG1300WE.US,182.0,0,2,1,0,0,4,0,12,4
Thermaltake Smart,https://pcpartpicker.com/product/b8Jkcf/thermaltake-smart-700-w-80-certified-atx-power-supply-ps-spd-0700npcwus-w,ATX,plus,700,false,,Thermaltake,PS-SPD-0700NPCWUS-W,140.0,0,1,0,0,0,2,0,6,5
SAMA GT,https://pcpartpicker.com/product/bqbypg/sama-gt-650-w-80-gold-certified-fully-modular-atx-power-supply-gt650-bkgffxx1-us,ATX,gold,650,Full,Black,SAMA,GT650-BKGFFXX1-US,140.0,0,2,1,0,0,2,0,6,2
be quiet! Power Zone 2,https://pcpartpicker.com/product/vgJBD3/be-quiet-power-zone-2-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bp008us,ATX,platinum,1000,Full,Black,be quiet!,BP008US|BP008EU|BP008|BP008AU,160.0,0,2,1,0,0,3,0,7,1
be quiet! Pure Power 12 M,https://pcpartpicker.com/product/4XsV3C/be-quiet-pure-power-12-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bn505,ATX,gold,850,Full,Black,be quiet!,BN505|BN716|BN344,160.0,0,2,1,0,0,4,0,6,2
Asus ROG STRIX 1000P GAMING,https://pcpartpicker.com/product/zn9nTW/asus-rog-strix-1000p-gaming-1000-w-80-platinum-certified-fully-modular-atx-power-supply-rog-strix-1000p-gaming-white,ATX,platinum,1000,Full,White,Asus,ROG-STRIX-1000P-GAMING-WHITE|90YE00W4-B0NA00|90YE00W4-BTAA00|90YE00W4-B0AA00,160.0,0,2,1,0,0,4,0,6,3
Corsair RM750x (2024),https://pcpartpicker.com/product/JPMMnQ/corsair-rm750x-2024-750-w-fully-modular-atx-power-supply-cp-9020285-na,ATX,,750,Full,Black,Corsair,CP-9020285-NA|CP-9020285-UK|CP-9020285-AU|CP-9020285-EU,160.0,0,2,1,0,0,2,0,8,3
Corsair CX (2023),https://pcpartpicker.com/product/nNTZxr/corsair-cx-2023-650-w-80-bronze-certified-atx-power-supply-cp-9020278-na,ATX,bronze,650,false,Black,Corsair,CP-9020278-NA|CP-9020278-EU|CP-9020278-AU|CP-9020278-WW|CP-9020278-UK,125.0,0,1,0,0,0,2,0,3,2
Apevia Prestige,https://pcpartpicker.com/product/xLtKHx/apevia-prestige-600-w-80-gold-certified-atx-power-supply-atx-rp600w,ATX,gold,600,false,Black,Apevia,ATX-RP600W,160.0,0,1,0,0,0,2,0,4,4
Thermaltake Toughpower GF1 (2024),https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p,ATX,gold,850,Full,Black,Thermaltake,PS-TPD-0850FNFAGU-P,140.0,0,2,0,0,0,6,0,8,4
Lian Li EDGE GOLD,https://pcpartpicker.com/product/h4qNnQ/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-white,ATX,gold,850,Full,White,Lian Li,EG0850G White|EDGE GOLD 850 White|G9P.EG0850G.W000.EU|Edge Gold 850W White,182.0,0,2,1,0,0,5,0,10,6
Gigabyte P650G,https://pcpartpicker.com/product/2QRnTW/gigabyte-p650g-650-w-80-gold-certified-atx-power-supply-gp-p650g,ATX,gold,650,false,Black,Gigabyte,GP-P650G|GP-P650G-UK,140.0,0,2,0,0,0,4,0,6,3
MSI MEG Ai1600T PCIE5,https://pcpartpicker.com/product/9D2j4D/msi-meg-ai1600t-pcie5-1600-w-80-titanium-certified-fully-modular-atx-power-supply-meg-ai1600t-pcie5,ATX,titanium,1600,Full,Black / Gold,MSI,MEG Ai1600T PCIE5|306-7ZPEX11-CE0,190.0,0,2,2,0,0,9,0,8,8
