name,part_url,rpm,color,size,manufacturer,part_number,height,supported_sockets,water_cooled_size,is_water_cooled
RAIJINTEK Orcus 280 RGW,https://pcpartpicker.com/product/P4VG3C/raijintek-orcus-280-rgw-6519-cfm-liquid-cpu-cooler-0r10b00091,"400,1800",Black,280.0,RAIJINTEK,0R10B00091,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,280.0,True
Cougar AQUA,https://pcpartpicker.com/product/FH8bt6/cougar-aqua-7064-cfm-liquid-cpu-cooler-aqua-280,"600,1600",Black,280.0,Cougar,AQUA 280,,AM2|AM2+|AM3|AM3+|AM4|sTR4|sTRX4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,280.0,True
Cougar AQUA,https://pcpartpicker.com/product/33mmP6/cougar-aqua-7064-cfm-liquid-cpu-cooler-aqua-360,"600,1800",Black,360.0,Cougar,AQUA 360,,AM2|AM2+|AM3|AM3+|AM4|sTR4|sTRX4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,360.0,True
Iceberg Thermal IceSLEET X6,https://pcpartpicker.com/product/JpNxFT/iceberg-thermal-icesleet-x6-76-cfm-cpu-cooler-icesleetx6-00a,"500,1850",Teal / Silver,,Iceberg Thermal,ICESLEETX6-00A,159.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Iceberg Thermal IceSLEET G4 OC,https://pcpartpicker.com/product/Hq7G3C/iceberg-thermal-icesleet-g4-oc-585-cfm-cpu-cooler-icesleetg4oc-tgg-00a,"600,1400",Teal / Silver,,Iceberg Thermal,ICESLEETG4OC-TGG-00A,156.0,AM2|AM2+|AM3|AM3+|AM4|AM5|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851,,False
GAMDIAS CHIONE E1,https://pcpartpicker.com/product/Ck8bt6/gamdias-chione-e1-55-cfm-liquid-cpu-cooler-chione-e1a-120,1500,Black,120.0,GAMDIAS,CHIONE E1A-120,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
GAMDIAS CHIONE E2,https://pcpartpicker.com/product/y7Z9TW/gamdias-chione-e2-4816-cfm-liquid-cpu-cooler-chione-e2-120-lite-2,"1200,2400",Black,120.0,GAMDIAS,CHIONE E2-120 LITE 2,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
GAMDIAS CHIONE M2,https://pcpartpicker.com/product/JZrRsY/gamdias-chione-m2-4816-cfm-liquid-cpu-cooler-chione-m2-240-lite-2,"1200,2400",Black,240.0,GAMDIAS,CHIONE M2-240 LITE 2,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,240.0,True
Thermalright TA140 EX,https://pcpartpicker.com/product/XXZ9TW/thermalright-ta140-ex-955-cfm-cpu-cooler-ta140-ex,1800,Gray,,Thermalright,TA140 EX,158.0,AM4|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
ARCTIC Liquid Freezer II 360 RGB,https://pcpartpicker.com/product/RXWzK8/arctic-liquid-freezer-ii-360-rgb-488-cfm-liquid-cpu-cooler-acfre00100a,"200,1800",Black,360.0,ARCTIC,ACFRE00100A,,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,360.0,True
Thermalright Macho Rev.C Plus,https://pcpartpicker.com/product/9nzhP6/thermalright-macho-revc-plus-736-cfm-cpu-cooler-macho-revc-plus,"300,1300",Silver / Black,,Thermalright,Macho Rev.C Plus,158.0,AM4|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,,False
Thermaltake TOUGHLIQUID ARGB,https://pcpartpicker.com/product/TWFbt6/thermaltake-toughliquid-argb-1191-cfm-liquid-cpu-cooler-cl-w320-pl14bl-a,"500,2000",Black,280.0,Thermaltake,CL-W320-PL14BL-A|CL-W320-PL12BL-B,,AM2|AM2+|AM3|AM3+|AM4|FM1|FM2|FM2+|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2011-3|LGA2066,280.0,True
ID-COOLING DK-17 PWM,https://pcpartpicker.com/product/9NddnQ/id-cooling-dk-17-pwm-458-cfm-cpu-cooler-dk-17-pwm,"600,2200",,,ID-COOLING,DK-17 PWM,42.0,LGA1700|LGA1851,,False
ID-COOLING DK-03i PWM RED,https://pcpartpicker.com/product/RTQcCJ/id-cooling-dk-03i-pwm-red-615-cfm-cpu-cooler-dk-03i-pwm-red,"500,1800",,,ID-COOLING,DK-03i PWM RED,68.0,LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
ID-COOLING IS-50 MAX RGB,https://pcpartpicker.com/product/HBkWGX/id-cooling-is-50-max-rgb-565-cfm-cpu-cooler-is-50-max-rgb,"900,2000",,,ID-COOLING,IS-50 MAX RGB,77.0,LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
ID-COOLING SE-913-R,https://pcpartpicker.com/product/n7QcCJ/id-cooling-se-913-r-385-cfm-cpu-cooler-se-913-r,"600,2200",,,ID-COOLING,SE-913-R,122.0,LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
ID-COOLING SE-913-B,https://pcpartpicker.com/product/NqjBD3/id-cooling-se-913-b-385-cfm-cpu-cooler-se-913-b,"600,2200",,,ID-COOLING,SE-913-B,122.0,LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
