name,part_url,interface,color,manufacturer,part_number
Rosewill RC-NIC416Dual,https://pcpartpicker.com/product/R2Jtt6/rosewill-rc-nic416dual-pcie-x4-10-gbits-network-adapter-rc-nic416dual,PCIe x4,Black / Silver,Rosewill,RC-NIC416Dual
D-Link DGE-560T,https://pcpartpicker.com/product/k3zFf7/d-link-dge-560t-gigabit-ethernet-pcie-x1-network-adapter-dge-560t,PCIe x1,,D-Link,DGE-560T
SIIG LB-GE0014-S1,https://pcpartpicker.com/product/Qq4Ycf/siig-lb-ge0014-s1-2-x-gigabit-ethernet-pcie-x4-network-adapter-lb-ge0014-s1,PCIe x4,Green / Black,SIIG,LB-GE0014-S1
StarTech USB31000NDS,https://pcpartpicker.com/product/2hCwrH/startech-wired-network-card-usb31000nds,USB Type-A 3.2 Gen 1,,StarTech,USB31000NDS
Syba SY-ADA24029,https://pcpartpicker.com/product/YgvRsY/syba-wired-network-card-syada24029,USB Type-A 2.0,,Syba,SY-ADA24029
StarTech ST1000SPEX,https://pcpartpicker.com/product/Gc9KHx/startech-wired-network-card-st1000spex,PCIe x1,,StarTech,ST1000SPEX|CBL-SFF8087OCF-05M
D-Link DGE-530T,https://pcpartpicker.com/product/Dj6BD3/d-link-wired-network-card-dge530t,PCI,,D-Link,DGE-530T
VisionTek Bigfoot Killer 2100,https://pcpartpicker.com/product/7QmLrH/visiontek-wired-network-card-900317,PCIe x1,,VisionTek,900317
Plugable USB3-E1000,https://pcpartpicker.com/product/dLmxFT/plugable-usb3-e1000-network-adapter-usb3-e1000,USB Type-A 3.2 Gen 1,,Plugable,USB3-E1000
Edimax EN-9320TX-E,https://pcpartpicker.com/product/D2BhP6/edimax-en-9320tx-e-pcie-x4-10-gbits-network-adapter-en-9320tx-e,PCIe x4,Silver / Green,Edimax,EN-9320TX-E
Intel PWLA8391GTBLK,https://pcpartpicker.com/product/yKzv6h/intel-wired-network-card-pwla8391gtblk,PCI,,Intel,PWLA8391GTBLK
Intel EXPI9404PTL,https://pcpartpicker.com/product/Lsdqqs/intel-wired-network-card-expi9404ptl,PCIe x4,,Intel,EXPI9404PTL
Belkin F2CU040btBLK,https://pcpartpicker.com/product/dp2rxr/belkin-f2cu040btblk-network-adapter-f2cu040btblk,USB Type-C 3.2 Gen 1,,Belkin,F2CU040BTBLK
StarTech ST1000BT32,https://pcpartpicker.com/product/whh9TW/startech-wired-network-card-st1000bt32,PCI,,StarTech,ST1000BT32
Cisco N2XX-ABPCI03-M3=,https://pcpartpicker.com/product/drTmP6/cisco-wired-network-card-n2xxabpci03m3,PCIe x4,,Cisco,N2XX-ABPCI03-M3=
Lenovo 4X90E51405,https://pcpartpicker.com/product/NjPfrH/lenovo-wired-network-card-4x90e51405,USB Type-A 3.2 Gen 1,,Lenovo,4X90E51405
TP-Link UE305,https://pcpartpicker.com/product/CzmFf7/tp-link-ue305-gigabit-ethernet-usb-type-a-network-adapter-ue305,USB Type-A 3.2 Gen 1,Black,TP-Link,UE305
Rosewill RC-20001,https://pcpartpicker.com/product/cvPgXL/rosewill-rc-20001-25-gbs-ethernet-pcie-x1-network-adapter-rc-20001,PCIe x1,Black,Rosewill,RC-20001
SIIG LB-GE0611-S1,https://pcpartpicker.com/product/DXK2FT/siig-lb-ge0611-s1-25-gbs-ethernet-pcie-x1-network-adapter-lb-ge0611-s1,PCIe x1,Green / Black,SIIG,LB-GE0611-S1
TRENDnet TEG-PCITXR,https://pcpartpicker.com/product/Kp7wrH/trendnet-wired-network-card-tegpcitxr,PCI,,TRENDnet,TEG-PCITXR
Intel E1G44ET2,https://pcpartpicker.com/product/8r4gXL/intel-wired-network-card-e1g44et2,PCIe x4,,Intel,E1G44ET2
Rosewill RC-400,https://pcpartpicker.com/product/z6Gkcf/rosewill-wired-network-card-rc400,PCI,,Rosewill,RC-400
Rosewill RC-404,https://pcpartpicker.com/product/TYvRsY/rosewill-wired-network-card-rc404,PCI,,Rosewill,RC-404
StarTech ST100S,https://pcpartpicker.com/product/Dx8Zxr/startech-wired-network-card-st100s,PCI,,StarTech,ST100S
Supermicro AOC-SG-i2,https://pcpartpicker.com/product/cTGkcf/supermicro-wired-network-card-aocsgi2,PCIe x4,,Supermicro,AOC-SG-i2
Intel PWLA8391GT,https://pcpartpicker.com/product/JMzv6h/intel-wired-network-card-pwla8391gt,PCI,,Intel,PWLA8391GT
Intel PWLA8492MT,https://pcpartpicker.com/product/9r4gXL/intel-wired-network-card-pwla8492mt,PCI-X,,Intel,PWLA8492MT
Syba SY-ADA24027,https://pcpartpicker.com/product/27tCmG/syba-wired-network-card-syada24027,USB Type-A 2.0,,Syba,SY-ADA24027
Asus NX1101,https://pcpartpicker.com/product/CzJwrH/asus-wired-network-card-nx1101,PCI,,Asus,NX1101
Rosewill RC-401-EX,https://pcpartpicker.com/product/shh9TW/rosewill-wired-network-card-rc401ex,PCIe x1,,Rosewill,RC-401-EX
Syba SD-PEX24009,https://pcpartpicker.com/product/ZZV48d/syba-wired-network-card-sdpex24009,PCIe x1,,Syba,SD-PEX24009
Netgear GA311,https://pcpartpicker.com/product/DwLypg/netgear-wired-network-card-ga311,PCI,,Netgear,GA311
StarTech USB31000SPTW,https://pcpartpicker.com/product/8nYXsY/startech-wired-network-card-usb31000sptw,USB Type-A 3.2 Gen 1,,StarTech,USB31000SPTW
StarTech ST10000SPEX,https://pcpartpicker.com/product/PHV48d/startech-wired-network-card-st10000spex,PCIe x4,,StarTech,ST10000SPEX
SIIG CN-GP4111-S1,https://pcpartpicker.com/product/hmGj4D/siig-cn-gp4111-s1-network-adapter-cn-gp4111-s1,PCIe x4,,SIIG,CN-GP4111-S1
D-Link DUB-1312,https://pcpartpicker.com/product/Zb3H99/d-link-dub-1312-usb-30-1000-mbits-network-adapter-dub-1312,USB Type-A 3.2 Gen 1,Black,D-Link,DUB-1312
SIIG JU-NE0711-S1,https://pcpartpicker.com/product/yMsmP6/siig-ju-ne0711-s1-usb-30-1000-mbits-network-adapter-ju-ne0711-s1,USB Type-A 3.2 Gen 1,Black,SIIG,JU-NE0711-S1
Tripp Lite U436-000-GB,https://pcpartpicker.com/product/4dDkcf/tripp-lite-u436-000-gb-usb-type-c-1000-mbits-network-adapter-u436-000-gb,USB Type-C 3.2 Gen 1,Black,Tripp Lite,U436-000-GB
V7 V7UCRJ45-BLK-1N,https://pcpartpicker.com/product/JYsmP6/v7-v7ucrj45-blk-1n-usb-type-c-1000-mbits-network-adapter-v7ucrj45-blk-1n,USB Type-C 3.2 Gen 1,Black,V7,V7UCRJ45-BLK-1N
SIIG JU-NE0621-S2,https://pcpartpicker.com/product/C8DJ7P/siig-ju-ne0621-s2-usb-30-1000-mbits-network-adapter-ju-ne0621-s2,USB Type-A 3.2 Gen 1,White,SIIG,JU-NE0621-S2
HP E0X95AA,https://pcpartpicker.com/product/Fk4gXL/hp-e0x95aa-gigabit-ethernet-pcie-x1-network-adapter-e0x95aa,PCIe x1,Green,HP,E0X95AA
StarTech USB31000S2,https://pcpartpicker.com/product/HTLFf7/startech-usb31000s2-gigabit-ethernet-usb-type-a-network-adapter-usb31000s2,USB Type-A 3.2 Gen 1,Black / Silver,StarTech,USB31000S2
SIIG CN-GP1021-S3,https://pcpartpicker.com/product/bL8Zxr/siig-wired-network-card-cngp1021s3,PCIe x1,,SIIG,CN-GP1021-S3
Tripp Lite U436-06N-2P5,https://pcpartpicker.com/product/XCFmP6/tripp-lite-u436-06n-2p5-25-gbs-ethernet-usb-type-c-network-adapter-u436-06n-2p5,USB Type-C 3.2 Gen 1,Black,Tripp Lite,U436-06N-2P5
Rosewill RNF-405U,https://pcpartpicker.com/product/MVxfrH/rosewill-wired-network-card-rnf405u,USB Type-A 2.0,,Rosewill,RNF-405U
Rosewill RNG-406U,https://pcpartpicker.com/product/GPw323/rosewill-wired-network-card-rng406u,USB Type-A 3.2 Gen 1,,Rosewill,RNG-406U
Syba SY-ADA24024,https://pcpartpicker.com/product/b8phP6/syba-wired-network-card-syada24024,USB Type-A 2.0,,Syba,SY-ADA24024
TRENDnet TE100-PCIWN,https://pcpartpicker.com/product/qmXfrH/trendnet-wired-network-card-te100pciwn,PCI,,TRENDnet,TE100-PCIWN
Intel EXPI9402PTBLK-1PK,https://pcpartpicker.com/product/mr4gXL/intel-wired-network-card-expi9402ptblk1pk,PCIe x4,,Intel,EXPI9402PTBLK-1PK
Intel PWLA8391GTBLK-1PK,https://pcpartpicker.com/product/VWg323/intel-wired-network-card-pwla8391gtblk1pk,PCI,,Intel,PWLA8391GTBLK-1PK
Intel PWLA8492MTBLK5,https://pcpartpicker.com/product/Y94gXL/intel-wired-network-card-pwla8492mtblk5,PCI-X,,Intel,PWLA8492MTBLK5
Rosewill RC-400-LX,https://pcpartpicker.com/product/fy6BD3/rosewill-wired-network-card-rc400lx,PCI,,Rosewill,RC-400-LX
SIIG CN-GP1011-S3,https://pcpartpicker.com/product/894gXL/siig-wired-network-card-cngp1011s3,PCI,,SIIG,CN-GP1011-S3
StarTech ST1000SPEXD2,https://pcpartpicker.com/product/dmXfrH/startech-wired-network-card-st1000spexd2,PCIe x1,,StarTech,ST1000SPEXD2
