name,part_url,bd,dvd,cd,manufacturer,part_number,form_factor,interface
LG WH12LS39,https://pcpartpicker.com/product/NQ4gXL/lg-optical-drive-wh12ls39,10.0,16.0,48.0,LG,WH12LS39,5.25,SATA 3.0 Gb/s
Pioneer BDR-2208,https://pcpartpicker.com/product/WzQypg/pioneer-optical-drive-bdr2208,12.0,16.0,40.0,Pioneer,BDR-2208,5.25,SATA 3.0 Gb/s
LG UH12NS29,https://pcpartpicker.com/product/zhbp99/lg-optical-drive-uh12ns29,10.0,16.0,48.0,LG,UH12NS29,5.25,SATA 3.0 Gb/s
LG CH10LS20 OEM,https://pcpartpicker.com/product/RYxfrH/lg-optical-drive-ch10ls20oem,10.0,16.0,48.0,LG,CH10LS20 OEM,5.25,SATA 3.0 Gb/s
Lite-On IHAS324-07,https://pcpartpicker.com/product/gtMFf7/lite-on-optical-drive-ihas32407,,16.0,48.0,Lite-On,ihas324-07,5.25,SATA 3.0 Gb/s
Asus DVD-E818AAT/BLK/B/GEN,https://pcpartpicker.com/product/RwxfrH/asus-optical-drive-dvde818aatblkbgen,,18.0,48.0,Asus,DVD-E818AAT/BLK/B/GEN,5.25,SATA 3.0 Gb/s
Silverstone SOD02B,https://pcpartpicker.com/product/Rzbp99/silverstone-optical-drive-sod02b,,8.0,24.0,Silverstone,SOD02B,5.25 Slim Slot Load,SATA 3.0 Gb/s
OcUK CD-004-OK,https://pcpartpicker.com/product/YmV48d/ocuk-optical-drive-cd004ok,8.0,,,OcUK,CD-004-OK,5.25,SATA 3.0 Gb/s
Lite-On SOHW-832S,https://pcpartpicker.com/product/4gs8TW/lite-on-optical-drive-sohw832s,,12.0,40.0,Lite-On,SOHW-832S,5.25,PATA 100
LG GUB0N,https://pcpartpicker.com/product/tP648d/lg-optical-drive-gub0n,,8.0,24.0,LG,GUB0N,5.25 Slim,SATA 3.0 Gb/s
Asus DRW-24D3ST,https://pcpartpicker.com/product/2KBrxr/asus-optical-drive-drw24d3st,,16.0,48.0,Asus,DRW-24D3ST,5.25,SATA 6.0 Gb/s
Samsung SH-216DB,https://pcpartpicker.com/product/svfmP6/samsung-optical-drive-sh216db,,,,Samsung,SH-216DB,5.25,SATA 3.0 Gb/s
LG GH10N,https://pcpartpicker.com/product/NhkwrH/lg-optical-drive-gh10n,,,,LG,GH10N,5.25,SATA 3.0 Gb/s
LG UH12NS40,https://pcpartpicker.com/product/QC648d/lg-uh12ns40-blu-ray-reader-dvdcd-writer-uh12ns40,12.0,16.0,48.0,LG,UH12NS40,5.25,SATA 3.0 Gb/s
Samsung SH-224GB/BSBE,https://pcpartpicker.com/product/msL7YJ/samsung-sh-224gbbsbe-dvdcd-writer-sh-224gbbsbe,,16.0,48.0,Samsung,SH-224GB/BSBE,5.25,SATA 3.0 Gb/s
LG GH22LS50,https://pcpartpicker.com/product/XjG2FT/lg-gh22ls50-dvdcd-writer-gh22ls50,,12.0,48.0,LG,GH22LS50,5.25,SATA 1.5 Gb/s
HP bd340i,https://pcpartpicker.com/product/Nrbp99/hp-optical-drive-bd340i,8.0,16.0,48.0,HP,bd340i,5.25,SATA 3.0 Gb/s
LG GH22NP21,https://pcpartpicker.com/product/7mMFf7/lg-optical-drive-gh22np21,,16.0,48.0,LG,GH22NP21,5.25,PATA 100
LG GH24NS70 OEM,https://pcpartpicker.com/product/VMW9TW/lg-optical-drive-gh24ns70oem,,16.0,48.0,LG,GH24NS70 OEM,5.25,SATA 3.0 Gb/s
HP 481041-B21,https://pcpartpicker.com/product/XKtCmG/hp-optical-drive-481041b21,,8.0,24.0,HP,481041-B21,5.25 Slim,SATA 3.0 Gb/s
Samsung SH-B123L,https://pcpartpicker.com/product/chzv6h/samsung-optical-drive-shb123l,12.0,16.0,48.0,Samsung,SH-B123L,5.25,SATA 3.0 Gb/s
Sony BC-5640H-01,https://pcpartpicker.com/product/rZbp99/sony-optical-drive-bc5640h01,6.0,8.0,24.0,Sony,BC-5640H-01,5.25 Slim Slot Load,SATA 3.0 Gb/s
Plextor PX-B320SA SW,https://pcpartpicker.com/product/pXw323/plextor-optical-drive-pxb320sasw,8.0,16.0,48.0,Plextor,PX-B320SA SW,5.25,SATA 3.0 Gb/s
Lite-On iHOS104-08,https://pcpartpicker.com/product/Zhzv6h/lite-on-optical-drive-ihos10408,4.0,8.0,32.0,Lite-On,iHOS104-08,5.25,SATA 3.0 Gb/s
Lite-On Ihap322-98,https://pcpartpicker.com/product/DPphP6/lite-on-optical-drive-ihap32298,,16.0,48.0,Lite-On,Ihap322-98,5.25,PATA 100
Lite-On iHAS424-98,https://pcpartpicker.com/product/L8tCmG/lite-on-optical-drive-ihas42498,,16.0,48.0,Lite-On,iHAS424-98,5.25,SATA 3.0 Gb/s
Sony AD-7260S-01,https://pcpartpicker.com/product/zJ3RsY/sony-optical-drive-ad7260s01,,16.0,48.0,Sony,AD-7260S-01,5.25,SATA 3.0 Gb/s
Lite-On DS-8A5S,https://pcpartpicker.com/product/jXckcf/lite-on-optical-drive-ds8a5s,,8.0,24.0,Lite-On,DS-8A5S,5.25 Slim,SATA 3.0 Gb/s
MSI DH-18D5S,https://pcpartpicker.com/product/3FV48d/msi-optical-drive-dh18d5s,,18.0,48.0,MSI,DH-18D5S,5.25,SATA 3.0 Gb/s
Lite-On iHES112-29,https://pcpartpicker.com/product/kdR48d/lite-on-optical-drive-ihes11229,12.0,16.0,48.0,Lite-On,iHES112-29,5.25,SATA 3.0 Gb/s
Lite-On ihes112-04,https://pcpartpicker.com/product/PbMFf7/lite-on-optical-drive-ihes11204,12.0,16.0,48.0,Lite-On,ihes112-04,5.25,SATA 3.0 Gb/s
Teac DV516E/B/S,https://pcpartpicker.com/product/mkMFf7/teac-optical-drive-dv516ebs,,16.0,48.0,Teac,DV516E/B/S,5.25,PATA 100
Plextor PX-LB950SA,https://pcpartpicker.com/product/CWh9TW/plextor-optical-drive-pxlb950sa,8.0,16.0,48.0,Plextor,PX-LB950SA,5.25,SATA 1.5 Gb/s
LG WH12LS38,https://pcpartpicker.com/product/Lgg323/lg-optical-drive-wh12ls38,10.0,16.0,48.0,LG,WH12LS38,5.25,SATA 3.0 Gb/s
I/O Magic IBD1,https://pcpartpicker.com/product/mGCwrH/io-magic-optical-drive-ibd1,10.0,16.0,48.0,I/O Magic,IBD1,5.25,SATA 3.0 Gb/s
Samsung SN-208BB,https://pcpartpicker.com/product/NQJwrH/samsung-optical-drive-sn208bb,,8.0,24.0,Samsung,SN-208BB,5.25 Slim,SATA 3.0 Gb/s
Gear Head 24XDVDINTLS,https://pcpartpicker.com/product/jVphP6/gear-head-optical-drive-24xdvdintls,,,,Gear Head,24XDVDINTLS,5.25,SATA 3.0 Gb/s
Samsung TS-H353C,https://pcpartpicker.com/product/8BV48d/samsung-optical-drive-tsh353c,,16.0,40.0,Samsung,TS-H353C,5.25,SATA 3.0 Gb/s
Samsung SH-222BB/BEBE,https://pcpartpicker.com/product/gBK7YJ/samsung-optical-drive-sh222bbbebe,,16.0,48.0,Samsung,SH-222BB/BEBE,5.25,SATA 3.0 Gb/s
